IsolateID	Row	Column	OD
34B	A	1	0.14
40B	B	1	0.149
2H	C	1	0.144
BTB_45	D	1	0.375
24D	E	1	0.336
45D	F	1	0.272
37E	G	1	0.206
25C	H	1	0.301
33B	A	2	0.408
36G	B	2	0.442
40A	C	2	0.207
36E	D	2	0.168
32E	E	2	0.277
37H	F	2	0.245
34B	G	2	0.128
36A	H	2	0.111
34F	A	3	0.145
21C	B	3	0.378
21C	C	3	0.352
35B	D	3	0.195
BTB_45	E	3	0.334
36G	F	3	0.41
TRYP	G	3	0.136
36E	H	3	0.112
32E	A	4	0.283
20C	B	4	0.232
24D	C	4	0.374
49C	D	4	0.361
33D	E	4	0.362
40B	F	4	0.13
2E	G	4	0.127
2F	H	4	0.322
25A	A	5	0.138
37H	B	5	0.293
45E	C	5	0.35
2F	D	5	0.357
34F	E	5	0.141
37E	F	5	0.225
20A	G	5	0.297
33B	H	5	0.358
45E	A	6	0.322
2E	B	6	0.159
49C	C	6	0.383
35B	D	6	0.195
25A	E	6	0.144
33D	F	6	0.345
20C	G	6	0.199
45D	H	6	0.26
BTB_59	A	7	0.161
BTB_47	B	7	0.284
25C	C	7	0.348
54G	D	7	0.458
36A	E	7	0.159
40A	F	7	0.175
2H	G	7	0.109
BTB_59	H	7	0.113
BTB_47	A	8	0.265
TRYP	B	8	0.136
20A	C	8	0.289
TRYP	D	8	0.123
54G	E	8	0.41
