0	1	2	3	4	5	6	7	8	9	10	11	12
A	34B	33B	34F	32E	25A	45E	BTB_59	BTB_47				
B	40B	36G	21C	20C	37H	2E	BTB_47	TRYP				
C	2H	40A	21C	24D	45E	49C	25C	20A				
D	BTB_45	36E	35B	49C	2F	35B	54G	TRYP				
E	24D	32E	BTB_45	33D	34F	25A	36A	54G				
F	45D	37H	36G	40B	37E	33D	40A					
G	37E	34B	TRYP	2E	20A	20C	2H					
H	25C	36A	36E	2F	33B	45D	BTB_59					
