IsolateID	aveOD	volPerMl
20A	0.161333333333333	0.309917355371901
20C	0.0838333333333333	0.596421471172962
21C	0.233333333333333	0.214285714285714
24D	0.223333333333333	0.223880597014925
25A	0.00933333333333333	5.35714285714286
25C	0.192833333333333	0.259291270527226
2E	0.0113333333333333	4.41176470588235
2F	0.207833333333333	0.240577385725742
2H	-0.00516666666666668	1
32E	0.148333333333333	0.337078651685393
33B	0.251333333333333	0.19893899204244
33D	0.221833333333333	0.225394440270473
34B	0.00233333333333333	21.4285714285715
34F	0.0113333333333333	4.41176470588236
35B	0.0633333333333333	0.789473684210526
36A	0.00333333333333333	15
36E	0.00833333333333333	6
36G	0.294333333333333	0.169875424688562
37E	0.0838333333333333	0.596421471172962
37H	0.137333333333333	0.364077669902913
40A	0.0593333333333333	0.842696629213483
40B	0.00783333333333333	6.38297872340426
45D	0.134333333333333	0.372208436724566
45E	0.204333333333333	0.244698205546493
49C	0.240333333333333	0.208044382801664
54G	0.302333333333333	0.165380374862183
BTB_45	0.222833333333333	0.224382946896036
BTB_47	0.142833333333333	0.350058343057176
BTB_59	0.00533333333333333	9.37500000000001
