IsolateID	Jar_1Jar_7	Jar_22Jar_8	Jar_2Jar_28	Jar_23Jar_21	Jar_6Jar_18	Jar_27Jar_26	Jar_16Jar_25	Jar_13Jar_10	Jar_24Jar_4	Jar_19Jar_5	Jar_3Jar_12	Jar_15Jar_20	Jar_11Jar_9	Jar_17Jar_14	volPerMl
33B	0	0	0	0	0	0	0	0.26525198938992	0.0795755968169762	0.0795755968169762	0	0.795755968169761	0	0	0.19893899204244
32E	0	0	0	0	0	0	0	0.44943820224719	0	0.134831460674157	0	0	0	0	0.337078651685393
2H	0	0	0	0	0	0	0	1.33333333333333	0	0.4	0	0	0	0	1
33D	0	0	0	0	0	0	0.300525920360631	0	0.0901577761081894	0.0901577761081894	0	0	0	0	0.225394440270473
37E	0	0	0	0	0	0	0	0	0.238568588469185	0.238568588469185	0	0	0	0	0.596421471172962
37H	0	0	0	0	0	0	0.485436893203883	0	0.145631067961165	0.145631067961165	1.45631067961165	0	0	0	0.364077669902913
BTB_45	0	0	0	0	0	0	0	0	0.0897531787584144	0.0897531787584144	0	0	0	0	0.224382946896036
45D	0	0	0	0	0	0	0	0	0	0.148883374689826	0	0	0	0	0.372208436724566
20A	0	0	0	0	0	0	0	0	0.12396694214876	0.12396694214876	0	0	0	0	0.309917355371901
34F	0	0	0	0	0	0	0	0	0	1.76470588235295	0	0	0	0	4.41176470588236
BTB_47	0	0	0	0	0	0	0.466744457409568	0	0.140023337222871	0	0	0	0	0	0.350058343057176
34B	0	0	0	0	0	0	0	0	8.5714285714286	0	0	0	0	0	21.4285714285715
2E	0	0	0	0	0	0	0	0	1.76470588235294	0	0	0	0	0	4.41176470588235
2F	0	0	0	0	0	0	0	0	0.0962309542902967	0	0	0	0	0	0.240577385725742
21C	0	0.285714285714285	0	0.0857142857142857	0	0.857142857142857	0	0	0	0	0	0	0	0	0.214285714285714
54G	0	0.22050716648291	0.0661521499448732	0.0661521499448732	0	0	0	0	0	0	0	0	0	0	0.165380374862183
49C	0	0.277392510402219	0.0832177531206658	0.0832177531206658	0	0	0	0	0	0	0	0	0	0	0.208044382801664
25C	0	0	0	0.10371650821089	0	0	0	0	0	0	0	0	0	0	0.259291270527226
24D	0.298507462686567	0	0.0895522388059702	0.0895522388059702	0	0	0	0	0	0	0	0	0	0	0.223880597014925
45E	0	0	0	0.0978792822185971	0	0	0	0	0	0	0	0	0	0	0.244698205546493
25A	0	0	2.14285714285714	2.14285714285714	0	0	0	0	0	0	0	0	0	0	5.35714285714286
20C	0	0	0	0.238568588469185	0	0	0	0	0	0	0	0	0	0	0.596421471172962
BTB_59	0	0	0	3.75	0	0	0	0	0	0	0	0	0	0	9.37500000000001
40B	0	0	2.5531914893617	2.5531914893617	0	0	0	0	0	0	0	0	0	0	6.38297872340426
36G	0.226500566251415	0	0.0679501698754247	0	0.679501698754247	0	0	0	0	0	0	0	0	0	0.169875424688562
36A	20	0	6.00000000000001	0	0	0	0	0	0	0	0	0	0	0	15
36E	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	6
40A	0	0	0.337078651685393	0	0	0	0	0	0	0	0	0	0	0	0.842696629213483
35B	0	0	0.315789473684211	0	0	0	0	0	0	0	0	0	0	0	0.789473684210526
Water	-16.525008028938	3.21638603740059	-10.0557890693354	-5.21084943870332	3.32049830124575	3.14285714285714	2.74729272902592	1.95197647502956	-7.3400418955574	0.783926132020381	2.54368932038835	3.20424403183024	4	4	NA
