ASVID	Taxon	ScientificName_unique
7b0011748a8d663c298f477aceddb399	d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Candidatus_Peribacteria; f__Candidatus_Peribacteria; g__Candidatus_Peribacteria; s__metagenome	g__Candidatus_Peribacteria_isolate.9
ebda9a1557ef9f5a955820395427d6d0	d__Bacteria; p__Dependentiae; c__Babeliae; o__Babeliales; f__UBA12409; g__UBA12409; s__uncultured_bacterium	g__UBA12409_isolate.1
aba5e04b239cc763cabdd296465bbf5e	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	g__Bacillus_unknown.38
8722a17fc5739633685c5b697fb4b591	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae	f__Yersiniaceae_unknown.15
13a284e638bee90f75658b213e4279c4	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__env.OPS_17; g__env.OPS_17; s__uncultured_bacterium	g__env.OPS_17_isolate
6a92a5358dade4afd4280dfe4bc66aa0	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter	g__Bryobacter_unknown
7440de30b2068eeeb916d98e1e2cde72	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__RBG-13-54-9; f__RBG-13-54-9; g__RBG-13-54-9; s__uncultured_bacterium	g__RBG-13-54-9_isolate
ce58f78d999a724f2602cdb9ce8ed0f1	d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__Pajaroellobacter	g__Pajaroellobacter_unknown
8618cb1b38add299828293b9c42e4302	d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus; s__Paenibacillus_lautus	s__Paenibacillus_lautus.2
99df3e7af69c644c2aa9b513ec6e261d	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium	g__Sphingobacterium_unknown.5
1e2477a3b4fd459f0fc501cbc7be2768	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	g__Pseudomonas_unknown.10
28633950e06a4567f8b64b4403cd33e3	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae	f__Sphingomonadaceae_unknown
2c68d7f8902d8d7d2edd0c2910a93022	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium	g__Hyphomicrobium_unknown.2
7d1994f113f6e2b0098208bc753e94f3	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadales; g__Saccharimonadales; s__uncultured_bacterium	g__Saccharimonadales_isolate.2
2b05a6e9e6c580f7fc168a5bbb29de2d	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Arcicella; s__uncultured_bacterium	g__Arcicella_isolate
4fc1f984263c4f3a9faaf8bdded83e2c	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Geobacillus	g__Geobacillus_unknown.3
6a977f4dfc024f877a378488b16d99d6	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Noviherbaspirillum	g__Noviherbaspirillum_unknown
d1600e356248183785e21cbd685ee973	d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Candidatus_Moranbacteria; f__Candidatus_Moranbacteria; g__Candidatus_Moranbacteria; s__uncultured_Parcubacteria	g__Candidatus_Moranbacteria_isolate.2
c41e38ec0abb37da79acd32fd3cd7c66	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Turicella; s__uncultured_bacterium	g__Turicella_isolate
7955106445694816839250c11fbf67ed	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Chthoniobacter; s__uncultured_Verrucomicrobia	g__Chthoniobacter_isolate
910c45a51b5ceeb1901be5803dc949f8	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Candidatus_Udaeobacter	g__Candidatus_Udaeobacter_unknown.2
9e6c957ecebd4617b5f786de0a657988	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__uncultured; s__uncultured_Devosia	f__Saprospiraceae_isolate.2
5d75b50d685c8b45bdfd97027510bf1e	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	g__Lactobacillus_unknown
c9c543ff91a8ab3fb9453288ca634980	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia	g__Massilia_unknown.3
1bfb5dd7955e3407655a3ef1487a5094	d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__uncultured_Bdellovibrionales	g__Bdellovibrio_isolate
5f7d57596f964a5fb5cff848d6fb09dd	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__uncultured; s__uncultured_bacterium	f__Verrucomicrobiaceae_isolate.1
702dca26eb49d1231a8b7265be894dab	d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Candidatus_Yanofskybacteria; f__Candidatus_Yanofskybacteria; g__Candidatus_Yanofskybacteria	g__Candidatus_Yanofskybacteria_unknown
3c7ff96d0b6968269b684d6b719c4ebc	d__Bacteria; p__Bdellovibrionota; c__Oligoflexia; o__0319-6G20; f__0319-6G20; g__0319-6G20; s__uncultured_bacterium	g__0319-6G20_isolate.1
289811f7d4d770d3aafc67c5f8983af6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium	g__Chryseobacterium_unknown.4
a831054ee802d48e933d003870c0d42c	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas	g__Sphingomonas_unknown.6
133862bc5656b433803da453daeb9375	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium	g__Hyphomicrobium_unknown.1
8184814db8b5d5b6ac18492191bc4f39	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas	g__Stenotrophomonas_unknown.11
9e2fa6293bb8af7dec92f5068e2e4fc8	d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96; s__uncultured_bacterium	g__KD4-96_isolate
5fda6f43bdea0995d2eb1467120ca8ea	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	g__Bacillus_unknown.8
8ce12e88f6b59bb09494567f0d678092	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium_unknown
032b7df1b63c13c81555718bafda9aec	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	f__Comamonadaceae_unknown
3ddc787cac9d823a20fafc9bba6e9f93	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	g__Pseudomonas_unknown.27
e3feb42cfc39c1cb2c5d22238fe4a3de	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__env.OPS_17; g__env.OPS_17	g__env.OPS_17_unknown.3
4fa9bcfcd994a5fbb979dc149167a62c	d__Bacteria; p__Patescibacteria; c__Parcubacteria	c__Parcubacteria_unknown
196d9966696d5d15341a281add1c7ca7	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia	g__Serratia_unknown
3deb0a15c18555296b6458a401209f08	d__Bacteria; p__Bdellovibrionota; c__Oligoflexia; o__0319-6G20; f__0319-6G20; g__0319-6G20; s__uncultured_bacterium	g__0319-6G20_isolate.2
064c47bd736bdf06e84b92f6c56df949	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101_soil_group; g__WD2101_soil_group	g__WD2101_soil_group_unknown
b2ad6ec4467ed0a9cd192faafdb7ec20	d__Bacteria; p__Deinococcota; c__Deinococci; o__Thermales; f__Thermaceae; g__Thermus; s__Thermus_thermophilus	s__Thermus_thermophilus.3
e16fdc5f5a29efc0bdf38be939f1fd66	d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__uncultured	f__Blastocatellaceae_isolate_unknown
56bab93ff70da7e35b8949810a58b071	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	f__Comamonadaceae_unknown.5
5e38583e2e7c35a3ffe9d824710eea39	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__env.OPS_17; g__env.OPS_17; s__metagenome	g__env.OPS_17_isolate.2
f08ba81449381732cbab4781f4384e94	d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bacteriovoracales; f__Bacteriovoracaceae; g__Peredibacter; s__Peredibacter_starrii	s__Peredibacter_starrii
4d6f684b52e0abcf611125900ade7a01	d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Sandaracinaceae; g__uncultured; s__uncultured_soil	f__Sandaracinaceae_isolate
