IsolateID	aveOD	volPerMl
13C	0.144333333333333	0.346420323325635
20A	0.113833333333333	0.439238653001464
20C	0.107333333333333	0.46583850931677
24C	0.0243333333333333	2.05479452054794
24D	0.233833333333333	0.213827512473272
25A	0.153333333333333	0.326086956521739
25C	0.204833333333333	0.244100895036615
2E	0.149333333333333	0.334821428571428
2H	0.0628333333333334	0.795755968169761
32E	0.122333333333333	0.408719346049046
32G	0.245333333333333	0.203804347826087
33B	0.0778333333333333	0.642398286937901
33D	0.187833333333333	0.266193433895297
34B	0.163833333333333	0.305188199389624
35A	0.125333333333333	0.398936170212766
35B	0.0188333333333333	2.65486725663717
35E	0.0388333333333333	1.28755364806867
36E	0.0118333333333333	4.22535211267606
36G	0.241833333333333	0.206753962784287
40A	0.0798333333333333	0.626304801670146
45D	0.144833333333333	0.345224395857307
45E	0.195333333333333	0.255972696245734
47C	0.177333333333333	0.281954887218045
50A	0.119333333333333	0.418994413407821
50B	0.0503333333333333	0.993377483443708
54G	0.223833333333333	0.223380491437081
BTB_45	0.156333333333333	0.319829424307036
BTB_59	0.100333333333333	0.498338870431894
