0	1	2	3	4	5	6	7	8	9	10	11	12
A	54G	20C	20A	25A	34B	24C	35E	45E				
B	BTB_45	BTB_59	35A	35B	2E	35E	33B	32G				
C	20A	20C	45D	25C	40A	40A	50A	36E				
D	34B	TRYP	24D	2H	50B	36E	24D					
E	36G	47C	24C	33D	32E	TRYP	32G					
F	25A	54G	45D	2H	BTB_45	50A	2E					
G	BTB_59	25C	33D	36G	50B	13C	33B					
H	TRYP	35A	32E	45E	13C	47C	35B					
