JarID	Rep	Row	Column	OD_rep	CV	OriginalCV_platecode					
22	Rep12	D	2	2	0.145	Rep1112_Jar22					
27	Rep12	E	2	2	1.263	Rep1112_Jar27					
28	Rep11	F	2	2	0.166	Rep1112_Jar28					
NA	BLANK	G	2	2	0.126	BLANK					
NA	BLANK	H	2	2	0.113	BLANK					
1	Rep1	A	3	2	0.156	Rep12_Jar1					
5	Rep1	B	3	2	0.153	Rep12_Jar5					
8	Rep1	C	3	2	0.554	Rep12_Jar8					
9	Rep1	D	3	2	0.212	Rep12_Jar9					
10	Rep2	E	3	2	0.133	Rep12_Jar10					
12	Rep2	F	3	2	0.155	Rep12_Jar12					
13	Rep2	G	3	2	0.575	Rep12_Jar13					
14	Rep2	H	3	2	0.408	Rep12_Jar14					
15	Rep1	A	4	2	0.178	Rep12_Jar15					
17	Rep2	B	4	2	0.41	Rep12_Jar17					
20	Rep2	C	4	2	1.392	Rep12_Jar20					
24	Rep1	D	4	2	0.159	Rep12_Jar24					
27	Rep1	E	4	2	0.851	Rep12_Jar27					
28	Rep2	F	4	2	0.599	Rep12_Jar28					
NA	BLANK	G	4	2	0.115	BLANK					
4	Rep3	H	4	2	1	Rep34_Jar4					
7	Rep3	A	5	2	1.703	Rep34_Jar7					
10	Rep4	B	5	2	0.183	Rep34_Jar10					
13	Rep4	C	5	2	0.148	Rep34_Jar13					
14	Rep4	D	5	2	0.148	Rep34_Jar14					
15	Rep3	E	5	2	0.188	Rep34_Jar15					
16	Rep3	F	5	2	0.139	Rep34_Jar16					
21	Rep3	G	5	2	0.257	Rep34_Jar20					
22	Rep4	H	5	2	0.161	Rep34_Jar22					
23	Rep4	A	6	2	0.262	Rep34_Jar23					
24	Rep3	B	6	2	1.25	Rep34_Jar24					
26	Rep4	C	6	2	0.574	Rep34_Jar26					
27	Rep4	D	6	2	0.499	Rep34_Jar27					
28	Rep3	E	6	2	0.141	Rep34_Jar28					
NA	BLANK	F	6	2	0.123	BLANK					
2	Rep6	G	6	2	0.303	Rep56_Jar2					
3	Rep5	H	6	2	0.114	Rep56_Jar3					
5	Rep5	A	7	2	0.163	Rep56_Jar5					
6	Rep6	B	7	2	0.345	Rep56_Jar6					
9	Rep6	C	7	2	0.147	Rep56_Jar9					
10	Rep6	D	7	2	0.482	Rep56_Jar10					
11	Rep5	E	7	2	1.238	Rep56_Jar11					
13	Rep5	F	7	2	0.154	Rep56_Jar13					
15	Rep5	G	7	2	0.58	Rep56_Jar15					
21	Rep5	H	7	2	0.135	Rep56_Jar21					
24	Rep6	A	8	2	0.148	Rep56_Jar24					
25	Rep5	B	8	2	0.14	Rep56_Jar25					
26	Rep6	C	8	2	0.324	Rep56_Jar26					
28	Rep6	D	8	2	0.146	Rep56_Jar28					
NA	BLANK	E	8	2	0.116	BLANK					
4	Rep8	F	8	2	1.001	Rep78_Jar4					
5	Rep7	G	8	2	1.07	Rep78_Jar5					
7	Rep8	H	8	2	0.246	Rep78_Jar7					
8	Rep7	A	9	2	0.188	Rep78_Jar8					
9	Rep8	B	9	2	0.141	Rep78_Jar9					
10	Rep7	C	9	2	0.348	Rep78_Jar10					
12	Rep8	D	9	2	1.092	Rep78_Jar12					
14	Rep7	E	9	2	0.147	Rep78_Jar14					
18	Rep8	F	9	2	0.171	Rep78_Jar18					
20	Rep7	G	9	2	0.147	Rep78_Jar20					
21	Rep7	H	9	2	0.116	Rep78_Jar21					
25	Rep8	A	10	2	0.789	Rep78_Jar25					
26	Rep7	B	10	2	0.149	Rep78_Jar26					
28	Rep8	C	10	2	0.273	Rep78_Jar28					
NA	BLANK	D	10	2	0.13	BLANK					
2	Rep9	E	10	2	1.378	Rep910_Jar2					
4	Rep10	F	10	2	0.689	Rep910_Jar4					
5	Rep10	G	10	2	0.496	Rep910_Jar5					
8	Rep9	H	10	2	0.781	Rep910_Jar8					
9	Rep9	A	11	2	0.771	Rep910_Jar9					
10	Rep10	B	11	2	1.14	Rep910_Jar10					
11	Rep9	C	11	2	0.143	Rep910_Jar11					
