IsolateID	Row	Column	OD
47C	A	7	0.347
25C	B	7	0.408
2F	C	7	0.308
36I	D	7	0.27
37H	E	7	0.276
2E	F	7	0.344
34B	G	7	0.288
45D	H	7	0.242
2H	A	8	0.302
32G	B	8	0.354
40A	C	8	0.2
35F	D	8	0.313
34F	E	8	0.362
36B	F	8	0.199
37E	G	8	0.278
45E	H	8	0.29
35C	A	9	0.208
26A	B	9	0.206
33D	C	9	0.386
50A	D	9	0.263
2E	E	9	0.342
40A	F	9	0.153
36B	G	9	0.212
45D	H	9	0.251
34F	A	10	0.24
36I	B	10	0.319
25C	C	10	0.422
33D	D	10	0.324
26A	E	10	0.169
35C	F	10	0.209
35F	G	10	0.289
2H	H	10	0.273
47C	A	11	0.348
37E	B	11	0.286
50A	C	11	0.271
37H	D	11	0.278
45E	E	11	0.303
34B	F	11	0.301
2F	G	11	0.268
32G	H	11	0.274
TRYP	A	12	0.135
TRYP	B	12	0.134
