IsolateID	Jar_3Jar_6	Jar_13Jar_1	Jar_9Jar_8	Jar_4Jar_2	Jar_7Jar_12	Jar_14Jar_5	Jar_11Jar_10	volPerMl
50A	0	0	0	0.50314465408805	0.150943396226415	1.50943396226415	0	0.377358490566038
37E	0	0	0	0.451977401129943	0.135593220338983	0	0	0.338983050847458
34F	0	0	0	0.4004004004004	0.12012012012012	0	0	0.3003003003003
37H	0	0	0	0	0.140350877192982	0	0	0.350877192982456
34B	0	0	0	0	0.125	0	0	0.3125
2H	0	0	0	0	0.130718954248366	0	0	0.326797385620915
2E	0	0	0	0	0.0959232613908873	0	0	0.239808153477218
45D	0	0	0	0	0.178571428571429	0	0	0.446428571428572
33D	0	0	0	0	0.090702947845805	0	0	0.226757369614513
2F	0	0	0	0	0.130293159609121	0	0	0.325732899022801
26A	1.25786163522012	0.377358490566038	3.77358490566038	0	0	0	0	0.943396226415095
35F	0.4004004004004	0.12012012012012	0	0	0	0	0	0.3003003003003
32G	0.371402042711235	0.11142061281337	0	0	0	0	0	0.278551532033426
47C	0	0.0938967136150235	0	0	0	0	0	0.234741784037559
45E	0	0.123456790123457	0	0	0	0	0	0.308641975308642
40A	0	0.476190476190476	0	0	0	0	0	1.19047619047619
36B	0	0.28169014084507	0	0	0	0	0	0.704225352112676
35C	0	0.27027027027027	0	0	0	0	0	0.675675675675676
36I	0	0.125	0	0	0	0	0	0.3125
25C	0	0.071301247771836	0	0	0	0	0	0.17825311942959
Water	1.97033592166824	1.94929513768434	0.226415094339622	2.64447754438161	2.70178263445589	2.49056603773585	4	NA
