0	1	2	3	4	5	6	7	8	9	10	11	12
A	40A	21C	13C	BTB_59	45E	34B	20C	32G	47C			
B	BTB_59	45D	37H	40B	20D	2F	BTB_45	35A				
C	54G	20A	33B	40B	TRYP	36A	36A	24D				
D	45D	20A	BTB_45	40A	20D	TRYP	35E	2E				
E	33B	32G	54G	2E	21C	45E	24L	35E				
F	47C	34F	2H	50A	50A	20C	50B	2F				
G	50B	24L	13C	TRYP	37E	36G	24D	49C				
H	37H	37E	34B	49C	2H	36G	35A	34F				
