IsolateID	g_sp	Inhibitory	L1	L2	L3
13C	Hafnia_alvei	Inhib	NA	3	10
13C	Hafnia_alvei	Inhib	NA	3	10
20A	Bacillus_wiedmannii	Inhib	NA	NA	10
20C	Buttiauxella_noackiae	Non	NA	NA	10
20D	Chryseobacterium_aquaticum	Non	NA	NA	10
21C	Serratia_marcescens	Non	NA	NA	10
21C	Serratia_marcescens	Non	NA	3	10
24D	Viridibacillus_arvi	Non	NA	NA	10
24D	Viridibacillus_arvi	Non	NA	NA	10
24L	Mucilaginibacter_polytrichastri	Non	NA	NA	10
2E	Pseudomonas_lurida	Inhib	NA	NA	10
2F	Pseudomonas_orientalis	Inhib	NA	NA	10
2F	Pseudomonas_orientalis	Inhib	NA	NA	10
2H	Acinetobacter_radioresistens	Inhib	NA	NA	10
32G	Stenotrophomonas_pavanii	Non	1	3	10
33B	Stenotrophomonas_maltophilia	Inhib	NA	NA	10
34B	Pseudomonas_brenneri	Inhib	NA	NA	10
34F	Collimonas_arenae	Inhib	NA	NA	10
35A	Phyllobacterium_myrsinacearum	Inhib	NA	NA	10
35E	Pseudomonas_chlororaphis	Inhib	NA	3	10
36A	Rhodococcus_fascians	Non	NA	NA	10
36G	Arthrobacter_citreus	Non	NA	NA	10
37E	Microbacterium_chocolatum	Inhib	NA	NA	10
37H	Paenibacillus_xylanexedens	Inhib	NA	NA	10
40A	Microbacterium_deminutum	Non	NA	NA	10
40B	Georgenia_satyanarayanai	Non	NA	3	10
45D	Rahnella_inusitata	Inhib	1	3	10
45D	Rahnella_inusitata	Inhib	NA	NA	10
45E	Obesumbacterium_proteus	Non	NA	3	10
45E	Obesumbacterium_proteus	Non	NA	NA	10
47C	Kocuria_rhizophila	Non	NA	NA	10
49C	Hafnia_paralvei	Non	1	3	10
49C	Hafnia_paralvei	Non	NA	NA	10
50A	Delftia_acidovorans	Inhib	NA	NA	10
50B	Chryseobacterium_lactis	Inhib	NA	NA	10
50B	Chryseobacterium_lactis	Inhib	1	3	10
54G	Serratia_fonticola	Non	NA	NA	10
54G	Serratia_fonticola	Non	NA	NA	10
BTB_45	Pseudomonas_protegens	Inhib	NA	3	10
BTB_59	Pseudomonas_lactis	Non	NA	3	10
