IsolateID	aveOD	volPerMl
13C	0.159666666666667	0.313152400835073
20A	0.159666666666667	0.313152400835073
20C	0.106666666666667	0.46875
20D	0.238666666666667	0.209497206703911
21C	0.174166666666667	0.287081339712919
24D	0.179666666666667	0.278293135435993
24L	0.227666666666667	0.219619326500732
2E	-0.0253333333333333	1
2F	0.201166666666667	0.248550124275062
2H	-0.0408333333333334	1
32G	0.324166666666667	0.154241645244216
33B	0.301666666666667	0.165745856353591
34B	0.178166666666667	0.280636108512629
34F	-0.0428333333333333	1
35A	-0.0243333333333334	1
35E	0.209666666666667	0.238473767885533
36A	0.00616666666666665	8.10810810810813
36G	0.270666666666667	0.184729064039409
37E	0.0336666666666667	1.48514851485149
37H	0.0431666666666666	1.15830115830116
40A	-0.0128333333333334	1
40B	0.0161666666666667	3.09278350515464
45D	0.137166666666667	0.364520048602673
45E	0.201166666666667	0.248550124275062
47C	0.198666666666667	0.251677852348993
49C	0.132666666666667	0.376884422110553
50A	0.129666666666667	0.38560411311054
50B	0.0181666666666667	2.75229357798165
54G	0.145666666666667	0.34324942791762
BTB_45	0.290666666666667	0.172018348623853
BTB_59	-0.0298333333333334	1
