IsolateID	Row	Column	OD
40A	A	1	0.155
BTB_59	B	1	0.153
54G	C	1	0.399
45D	D	1	0.277
33B	E	1	0.416
47C	F	1	0.39
50B	G	1	0.183
37H	H	1	0.207
21C	A	2	0.34
45D	B	2	0.368
20A	C	2	0.333
20A	D	2	0.357
32G	E	2	0.501
34F	F	2	0.166
24L	G	2	0.411
37E	H	2	0.198
13C	A	3	0.306
37H	B	3	0.25
33B	C	3	0.558
BTB_45	D	3	0.486
54G	E	3	0.263
2H	F	3	0.178
13C	G	3	0.384
34B	H	3	0.321
BTB_59	A	4	0.158
40B	B	4	0.206
40B	C	4	0.197
40A	D	4	0.19
2E	E	4	0.166
50A	F	4	0.31
TRYP	G	4	0.169
49C	H	4	0.314
45E	A	5	0.384
20D	B	5	0.441
TRYP	C	5	0.198
20D	D	5	0.407
21C	E	5	0.379
50A	F	5	0.32
37E	G	5	0.24
2H	H	5	0.111
34B	A	6	0.406
2F	B	6	0.415
36A	C	6	0.195
TRYP	D	6	0.189
45E	E	6	0.389
20C	F	6	0.312
36G	G	6	0.464
36G	H	6	0.448
20C	A	7	0.272
BTB_45	B	7	0.466
36A	C	7	0.188
35E	D	7	0.469
24L	E	7	0.415
50B	F	7	0.224
24D	G	7	0.351
35A	H	7	0.143
32G	A	8	0.518
35A	B	8	0.179
24D	C	8	0.379
2E	D	8	0.154
35E	E	8	0.321
2F	F	8	0.358
49C	G	8	0.322
34F	H	8	0.119
47C	A	9	0.378
