sampleID	Rep	JarID	zoosp_dens_micro	zoosp_count_sd_micro	max_zoosp_count_micro	min_zoosp_count_micro	pinpricks_present	clouds_present	Bd_true_zero
R12_J20_Bd	Rep12	20	2.00186457670403	7.75318816693728	5	0	FALSE	FALSE	FALSE
R12_J23_Bd	Rep12	23	0	0	0	0	FALSE	FALSE	TRUE
R12_J3_Bd	Rep12	3	0	0	0	0	FALSE	FALSE	TRUE
R12_J5_Bd	Rep12	5	0	0	0	0	FALSE	FALSE	TRUE
R13_J23_Bd	Rep13	23	996.928559198609	NA	166	166	FALSE	FALSE	NA
R13_J29_Bd	Rep13	29	695.361959750837	654.273446532348	352	4	FALSE	FALSE	FALSE
R2_J11_Bd	Rep2	11	0.353270219418359	1.45657042904702	1	0	TRUE	FALSE	FALSE
R2_J18_Bd	Rep2	18	0	0	0	0	FALSE	FALSE	FALSE
R2_J19_Bd	Rep2	19	1016.50234617083	1430.6496953848	568	0	FALSE	FALSE	FALSE
R2_J2_Bd	Rep2	2	786.332405729344	884.317643954688	339	0	TRUE	TRUE	FALSE
R2_J25_Bd	Rep2	25	2.80261040738565	6.759072741987	4	0	FALSE	FALSE	FALSE
R2_J3_Bd	Rep2	3	0	0	0	0	TRUE	TRUE	FALSE
R2_J6_Bd	Rep2	6	0	0	0	0	FALSE	FALSE	FALSE
R3_J1_Bd	Rep3	1	102.470443020038	111.289312641206	57	0	FALSE	FALSE	FALSE
R3_J12_Bd	Rep3	12	40.6260752331113	55.5934981267805	31	0	FALSE	FALSE	FALSE
R3_J18_Bd	Rep3	18	82.9522633971734	82.4093150354794	64	5	FALSE	FALSE	FALSE
R3_J19_Bd	Rep3	19	71.6667518460044	81.0347263732131	46	0	FALSE	TRUE	FALSE
R3_J20_Bd	Rep3	20	166.154759866435	111.031965825214	54	0	FALSE	FALSE	FALSE
R3_J25_Bd	Rep3	25	74.4693622533901	78.7233631126268	42	0	TRUE	FALSE	FALSE
R3_J6_Bd	Rep3	6	26.0242394971524	36.5775852283329	17	0	TRUE	FALSE	FALSE
R4_J11_Bd	Rep4	11	5.63024412198009	18.2776375093688	12	0	FALSE	FALSE	FALSE
R4_J17_Bd	Rep4	17	269.050599109022	807.881356631032	529	0	FALSE	TRUE	FALSE
R4_J2_Bd	Rep4	2	314.864699850163	372.724497378881	186	0	FALSE	TRUE	FALSE
R4_J3_Bd	Rep4	3	103.971841452566	82.160934113638	60	5	FALSE	FALSE	FALSE
R4_J5_Bd	Rep4	5	608.166458402685	527.704239036627	274	0	TRUE	FALSE	FALSE
R4_J8_Bd	Rep4	8	93.6872621897488	79.2127178092587	51	0	TRUE	TRUE	FALSE
R4_J9_Bd	Rep4	9	83.3276130053054	73.2871111129748	39	0	TRUE	TRUE	FALSE
R5_J1_Bd	Rep5	1	12.0111874602242	43.3069522670484	28	0	FALSE	TRUE	FALSE
R5_J12_Bd	Rep5	12	14.1560423638357	23.8609685579172	13	0	FALSE	FALSE	FALSE
R5_J14_Bd	Rep5	14	78.8560568040806	136.94027975632	91	0	FALSE	FALSE	FALSE
R5_J17_Bd	Rep5	17	0	0	0	0	FALSE	FALSE	FALSE
R5_J18_Bd	Rep5	18	96.4898725971344	77.1254353287378	40	0	FALSE	FALSE	FALSE
R5_J4_Bd	Rep5	4	2.57382588433376	9.63037463238738	6	0	FALSE	FALSE	FALSE
R5_J8_Bd	Rep5	8	228.67453049273	274.702158798079	171	0	FALSE	TRUE	FALSE
R6_J16_Bd	Rep6	16	0	0	0	0	FALSE	FALSE	FALSE
R6_J19_Bd	Rep6	19	0	0	0	0	FALSE	FALSE	FALSE
R6_J20_Bd	Rep6	20	0	0	0	0	FALSE	FALSE	FALSE
R6_J22_Bd	Rep6	22	244.513459011707	395.790803296765	246	0	FALSE	TRUE	FALSE
