sampleID	Rep	JarID	ave_zoosp_size_micro	med_zoosp_size_micro	sd_zoosp_size_micro	min_zoosp_size_micro	max_zoosp_size_micro	n_zoosp_size_micro
R1_J12_Bd	Rep1	12	16.9572436051663	15.1381125248683	6.34970900966845	10.3145597943275	31.5051439463259	11
R1_J16_Bd	Rep1	16	9.27252038495397	9.32971797993778	1.82472922489103	4.35508376585822	14.2996005940857	11
R1_J21_Bd	Rep1	21	10.9069624854397	10.9731897277004	2.25779855963747	4.04147817037414	17.6640242599238	11
R1_J22_Bd	Rep1	22	10.1080026504538	8.84573358690715	3.83523210996753	4.47018884991499	22.5883303032995	11
R1_J26_Bd	Rep1	26	13.5874316583092	13.6082912897549	3.46339476430156	7.66627011817714	23.2224264655971	11
R1_J4_Bd	Rep1	4	9.61740796150933	9.09916841182912	5.98097974681865	4.32473170915243	15.9465633132266	11
R1_J7_Bd	Rep1	7	10.4610010919148	10.8452359295429	3.35322492759411	5.21939009626935	18.7232431589567	11
R10_J1_Bd	Rep10	1	14.4284329626976	14.3714079359089	3.82677327013623	4.1255523977349	28.0329850248964	11
R10_J23_Bd	Rep10	23	7.64616646977291	7.65182137552806	1.75476047940568	2.49313539267028	15.250405437537	11
R10_J6_Bd	Rep10	6	5.247172410155	4.98636775676773	0.811674759701063	4.59460319098057	6.42135093610398	11
R11_J2_Bd	Rep11	2	10.4551369135387	10.3195053371134	3.10430829525725	4.02285965635653	18.6913395594161	11
R11_J21_Bd	Rep11	21	4.43992846151146	4.45748559295506	0.985172766617229	1.59925277697076	7.29031189501951	11
R11_J25_Bd	Rep11	25	4.06969259320176	4.01582922788634	0.891029522975887	2.12891071220083	7.55194080553777	11
R11_J26_Bd	Rep11	26	4.44112166461928	4.18994142537913	1.87550810965338	2.09778288407764	10.5943223617275	11
R12_J12_Bd	Rep12	12	7.12935968990865	7.22194703886111	2.29185469096191	2.4301039650065	13.2907098657566	11
R12_J19_Bd	Rep12	19	9.32750660978328	8.99759084186326	2.69714287897849	4.26780948140069	16.2229318806755	11
R13_J29_Bd	Rep13	29	10.3697445949574	10.5609641907793	3.43690327035409	3.49640177822324	20.0896675392802	11
R2_J11_Bd	Rep2	11	7.53021498970155	4.69923536090244	5.40910622437193	1.86272414460534	18.9151496133361	11
R2_J19_Bd	Rep2	19	12.3384578816584	12.7854887301747	2.6648320822912	5.55365060574172	17.9366109417128	11
R2_J2_Bd	Rep2	2	5.65526410589202	5.46492174987655	2.01594685747737	2.28241648141892	25.6364331736925	11
R2_J3_Bd	Rep2	3	6.79288079742061	6.45606670703264	1.3806193986203	5.61183346204674	8.31074222318246	11
R3_J1_Bd	Rep3	1	14.6574516071145	13.8939691142126	4.46112492137678	4.94457307165529	26.2540441933703	11
R3_J12_Bd	Rep3	12	13.0118581760321	11.8568418578329	5.22496742487057	4.32036799492956	26.3662401346119	11
R3_J18_Bd	Rep3	18	13.5543082659608	13.7407057735624	5.38903436252661	3.94053091468493	32.2931337635503	11
R3_J19_Bd	Rep3	19	15.9689903800465	15.6197696036467	4.36094539806221	7.64842737557693	29.4032882623069	11
R3_J20_Bd	Rep3	20	15.4405219464033	16.0636078258269	3.94558922694213	5.87055322974975	25.7149800297043	11
R3_J25_Bd	Rep3	25	17.6117650929744	18.243380051581	4.94765113779911	8.1097204546486	27.8928613126285	11
R3_J6_Bd	Rep3	6	13.1856491446889	14.2630423660408	6.36785675804368	5.23645706745216	24.9444450693714	11
R3_J8_Bd	Rep3	8	14.0278549529439	13.4453792921008	4.7647835460088	6.3031427663776	26.204006936948	11
R4_J11_Bd	Rep4	11	15.9721314461918	18.1541178528664	5.87733310192888	4.44904907879084	26.3594521347096	11
