Rep	JarID	M_ID	ZS_ID	Diameter	Notes	X	conv_pix_in_0.1mm	diameter_mm	diameter_um	sampleID
Rep1	7	4	1	84.172			1031.2316	0.00816227896817747	8.16227896817747	R1_J7_Bd
Rep1	7	4	2	145.647			1031.2316	0.0141235974537631	14.1235974537631	R1_J7_Bd
Rep1	7	4	3	117.72			1031.2316	0.0114154764070457	11.4154764070457	R1_J7_Bd
Rep1	7	4	4	86.406			1031.2316	0.00837891313648651	8.37891313648651	R1_J7_Bd
Rep1	7	4	5	70.382			1031.2316	0.00682504298743367	6.82504298743367	R1_J7_Bd
Rep1	7	4	6	118.596			1031.2316	0.011500423377251	11.500423377251	R1_J7_Bd
Rep1	7	4	7	68.007			1031.2316	0.00659473584789295	6.59473584789295	R1_J7_Bd
Rep1	7	4	8	70			1031.2316	0.0067879999022528	6.7879999022528	R1_J7_Bd
Rep1	7	4	9	85.755			1031.2316	0.00831578473739556	8.31578473739556	R1_J7_Bd
Rep1	7	4	10	76.922			1031.2316	0.00745923612115843	7.45923612115843	R1_J7_Bd
Rep1	7	4	11	81.45			1031.2316	0.00789832274340701	7.89832274340701	R1_J7_Bd
Rep1	7	4	12	70.779			1031.2316	0.00686354064402216	6.86354064402216	R1_J7_Bd
Rep1	7	4	13	53.824			1031.2316	0.00521939009626935	5.21939009626935	R1_J7_Bd
Rep1	7	4	14	78.772			1031.2316	0.00763863326143225	7.63863326143225	R1_J7_Bd
Rep1	7	4	15	81.394			1031.2316	0.00789289234348521	7.89289234348521	R1_J7_Bd
Rep1	7	4	16	89.894			1031.2316	0.00871714947447305	8.71714947447305	R1_J7_Bd
Rep1	7	4	17	78.435			1031.2316	0.00760595389047426	7.60595389047426	R1_J7_Bd
Rep1	7	4	18	65.605			1031.2316	0.0063618104798185	6.3618104798185	R1_J7_Bd
Rep1	7	4	19	77.078			1031.2316	0.00747436366379773	7.47436366379773	R1_J7_Bd
Rep1	7	4	20	124.036			1031.2316	0.0120279479410833	12.0279479410833	R1_J7_Bd
Rep1	7	4	21	65.391			1031.2316	0.00634105859440304	6.34105859440304	R1_J7_Bd
Rep1	7	4	22	86.649			1031.2316	0.00840247719329004	8.40247719329004	R1_J7_Bd
Rep1	7	5	1	127.646			1031.2316	0.0123780147931852	12.3780147931852	R1_J7_Bd
Rep1	7	5	2	129.077			1031.2316	0.0125167809054726	12.5167809054726	R1_J7_Bd
Rep1	7	5	3	117.346			1031.2316	0.0113792090932822	11.3792090932822	R1_J7_Bd
Rep1	7	5	4	102.786			1031.2316	0.00996730511361366	9.96730511361366	R1_J7_Bd
Rep1	7	5	5	122.332			1031.2316	0.011862708629177	11.862708629177	R1_J7_Bd
Rep1	7	5	6	89.499			1031.2316	0.00867884576073891	8.67884576073891	R1_J7_Bd
Rep1	7	5	7	113.296			1031.2316	0.0109864748132233	10.9864748132233	R1_J7_Bd
Rep1	7	5	8	116.155			1031.2316	0.0112637161235168	11.2637161235168	R1_J7_Bd
Rep1	7	5	9	113.225			1031.2316	0.0109795898418939	10.9795898418939	R1_J7_Bd
Rep1	7	5	10	61.66			1031.2316	0.00597925819961297	5.97925819961297	R1_J7_Bd
Rep1	7	5	11	88.837			1031.2316	0.00861465067594903	8.61465067594903	R1_J7_Bd
Rep1	7	5	12	117.72			1031.2316	0.0114154764070457	11.4154764070457	R1_J7_Bd
Rep1	7	6	1	127.346			1031.2316	0.0123489233650326	12.3489233650326	R1_J7_Bd
Rep1	7	6	2	162.484			1031.2316	0.0157563053731092	15.7563053731092	R1_J7_Bd
Rep1	7	6	3	176.409			1031.2316	0.0171066324965216	17.1066324965216	R1_J7_Bd
Rep1	7	6	4	122.413			1031.2316	0.0118705633147782	11.8705633147782	R1_J7_Bd
Rep1	7	6	5	73.498			1031.2316	0.00712720595451109	7.12720595451109	R1_J7_Bd
Rep1	7	6	6	130.465			1031.2316	0.0126513772463916	12.6513772463916	R1_J7_Bd
Rep1	7	6	7	129.865			1031.2316	0.0125931943900866	12.5931943900866	R1_J7_Bd
Rep1	16	1	1	64.031			1031.2316	0.00620917745344499	6.20917745344499	R1_J16_Bd
Rep1	16	1	2	73.027			1031.2316	0.00708153241231165	7.08153241231165	R1_J16_Bd
Rep1	16	1	3	69.462			1031.2316	0.00673582927443263	6.73582927443263	R1_J16_Bd
Rep1	16	1	4	96.255			1031.2316	0.00933398472273348	9.33398472273348	R1_J16_Bd
Rep1	16	1	5	75.664			1031.2316	0.00733724606577223	7.33724606577223	R1_J16_Bd
Rep1	16	1	6	70.178			1031.2316	0.00680526081628996	6.80526081628996	R1_J16_Bd
Rep1	16	1	7	62.169			1031.2316	0.00602861665604506	6.02861665604506	R1_J16_Bd
Rep1	16	1	8	96.933			1031.2316	0.00939973135035815	9.39973135035815	R1_J16_Bd
Rep1	16	1	9	89.9			1031.2316	0.0087177313030361	8.7177313030361	R1_J16_Bd
Rep1	16	1	10	88.233			1031.2316	0.00855607993393531	8.5560799339353	R1_J16_Bd
Rep1	16	1	11	71.809			1031.2316	0.00696342121401245	6.96342121401245	R1_J16_Bd
Rep1	16	1	12	69.857			1031.2316	0.00677413298816677	6.77413298816677	R1_J16_Bd
Rep1	16	1	13	96.167			1031.2316	0.00932545123714207	9.32545123714207	R1_J16_Bd
Rep1	16	1	14	73.246			1031.2316	0.00710276915486298	7.10276915486298	R1_J16_Bd
Rep1	16	1	15	81.32			1031.2316	0.00788571645787425	7.88571645787425	R1_J16_Bd
Rep1	16	1	16	84.012			1031.2316	0.00814676353982946	8.14676353982946	R1_J16_Bd
Rep1	16	1	17	89.14			1031.2316	0.00864403301838307	8.64403301838307	R1_J16_Bd
Rep1	16	1	18	71.568			1031.2316	0.00694005110006326	6.94005110006326	R1_J16_Bd
Rep1	16	1	19	82.492			1031.2316	0.0079993669705234	7.9993669705234	R1_J16_Bd
Rep1	16	1	20	84.694			1031.2316	0.00821289805316284	8.21289805316284	R1_J16_Bd
Rep1	16	1	21	85.194			1031.2316	0.00826138376675036	8.26138376675036	R1_J16_Bd
Rep1	16	1	22	52.178			1031.2316	0.00505977512713924	5.05977512713924	R1_J16_Bd
Rep1	16	1	23	79.48			1031.2316	0.00770728903187218	7.70728903187218	R1_J16_Bd
Rep1	16	1	24	62.241			1031.2316	0.00603559859880167	6.03559859880167	R1_J16_Bd
Rep1	16	1	25	71.554			1031.2316	0.00693869350008281	6.93869350008281	R1_J16_Bd
Rep1	16	1	26	86.145			1031.2316	0.00835360359399382	8.35360359399382	R1_J16_Bd
Rep1	16	1	27	93.6			1031.2316	0.00907652558358374	9.07652558358374	R1_J16_Bd
Rep1	16	1	28	147.462			1031.2316	0.0142996005940857	14.2996005940857	R1_J16_Bd
Rep1	16	1	29	94.921			1031.2316	0.00920462483888197	9.20462483888197	R1_J16_Bd
Rep1	16	1	30	72.18			1031.2316	0.00699939761349439	6.99939761349439	R1_J16_Bd
Rep1	16	1	31	62.586			1031.2316	0.00606905374117706	6.06905374117706	R1_J16_Bd
Rep1	16	1	32	52.345			1031.2316	0.00507596935547747	5.07596935547747	R1_J16_Bd
Rep1	16	1	33	78.645			1031.2316	0.00762631789018102	7.62631789018102	R1_J16_Bd
Rep1	16	1	34	90.758			1031.2316	0.00880093278755228	8.80093278755228	R1_J16_Bd
Rep1	16	1	35	83.863			1031.2316	0.00813231479718038	8.13231479718038	R1_J16_Bd
Rep1	16	1	36	55.172			1031.2316	0.00535010758010131	5.35010758010131	R1_J16_Bd
Rep1	16	1	37	77.936			1031.2316	0.00755756514831392	7.55756514831392	R1_J16_Bd
Rep1	16	1	38	83.241			1031.2316	0.00807199856947751	8.07199856947751	R1_J16_Bd
Rep1	16	1	39	56.859			1031.2316	0.0055136983777456	5.5136983777456	R1_J16_Bd
Rep1	16	1	40	61.131			1031.2316	0.00592796031463737	5.92796031463737	R1_J16_Bd
Rep1	16	1	41	67.201			1031.2316	0.00651657687758986	6.51657687758986	R1_J16_Bd
Rep1	16	1	42	68.242			1031.2316	0.00661752413327908	6.61752413327908	R1_J16_Bd
Rep1	16	1	43	84.172			1031.2316	0.00816227896817747	8.16227896817747	R1_J16_Bd
Rep1	16	1	44	97.837			1031.2316	0.00948739352052439	9.48739352052439	R1_J16_Bd
Rep1	16	1	45	86.885			1031.2316	0.00842536245010335	8.42536245010335	R1_J16_Bd
Rep1	16	1	46	98.494			1031.2316	0.00955110374817839	9.55110374817839	R1_J16_Bd
Rep1	16	1	47	74.243			1031.2316	0.0071994496677565	7.1994496677565	R1_J16_Bd
Rep1	16	1	48	61.814			1031.2316	0.00599419179939792	5.99419179939792	R1_J16_Bd
Rep1	16	1	49	66.129			1031.2316	0.00641262350765822	6.41262350765822	R1_J16_Bd
Rep1	16	1	50	68.469			1031.2316	0.00663953664724781	6.63953664724781	R1_J16_Bd
Rep1	16	1	51	82.662			1031.2316	0.00801585211314316	8.01585211314316	R1_J16_Bd
Rep1	16	1	52	99.765			1031.2316	0.00967435443211787	9.67435443211787	R1_J16_Bd
Rep1	16	1	53	95.415			1031.2316	0.00925252872390644	9.25252872390644	R1_J16_Bd
Rep1	16	1	54	66.843			1031.2316	0.0064818611066612	6.4818611066612	R1_J16_Bd
Rep1	16	1	55	72.201			1031.2316	0.00700143401346506	7.00143401346506	R1_J16_Bd
Rep1	16	1	56	69.57			1031.2316	0.00674630218856753	6.74630218856753	R1_J16_Bd
Rep1	16	1	57	66.603			1031.2316	0.00645858796413919	6.45858796413919	R1_J16_Bd
Rep1	16	1	58	75.432			1031.2316	0.00731474869466762	7.31474869466762	R1_J16_Bd
Rep1	16	1	59	78.772			1031.2316	0.00763863326143225	7.63863326143225	R1_J16_Bd
Rep1	16	1	60	62.98			1031.2316	0.00610726048348402	6.10726048348402	R1_J16_Bd
Rep1	16	1	61	61.62			1031.2316	0.00597537934252597	5.97537934252597	R1_J16_Bd
Rep1	16	1	62	90.139			1031.2316	0.00874090747413093	8.74090747413093	R1_J16_Bd
Rep1	16	1	63	75.961			1031.2316	0.00736604657964321	7.36604657964321	R1_J16_Bd
Rep1	16	1	64	83.546			1031.2316	0.00810157485476589	8.10157485476589	R1_J16_Bd
Rep1	16	1	65	96.151			1031.2316	0.00932389969430727	9.32389969430727	R1_J16_Bd
Rep1	16	1	66	77.621			1031.2316	0.00752701914875378	7.52701914875378	R1_J16_Bd
Rep1	16	1	67	92.574			1031.2316	0.00897703289930215	8.97703289930215	R1_J16_Bd
Rep1	16	1	68	104.077			1031.2316	0.0100924952260966	10.0924952260966	R1_J16_Bd
Rep1	16	1	69	107.838			1031.2316	0.010457204763702	10.457204763702	R1_J16_Bd
Rep1	16	1	70	82.62			1031.2316	0.00801177931320181	8.01177931320181	R1_J16_Bd
Rep1	16	1	71	103.407			1031.2316	0.0100275243698894	10.0275243698894	R1_J16_Bd
Rep1	16	1	72	103.479			1031.2316	0.010034506312646	10.034506312646	R1_J16_Bd
Rep1	16	1	73	99.745			1031.2316	0.00967241500357437	9.67241500357437	R1_J16_Bd
Rep1	16	1	74	107.222			1031.2316	0.0103974703645621	10.3974703645621	R1_J16_Bd
Rep1	16	1	75	104.998			1031.2316	0.0101818059105249	10.1818059105249	R1_J16_Bd
Rep1	16	1	76	84.345			1031.2316	0.00817905502507875	8.17905502507875	R1_J16_Bd
Rep1	16	1	77	91.236			1031.2316	0.00884728512974195	8.84728512974195	R1_J16_Bd
Rep1	16	1	78	78.6			1031.2316	0.00762195417595814	7.62195417595814	R1_J16_Bd
Rep1	16	1	79	98.595			1031.2316	0.00956089786232307	9.56089786232307	R1_J16_Bd
Rep1	16	1	80	105.991			1031.2316	0.0102780985377097	10.2780985377097	R1_J16_Bd
Rep1	16	1	81	91.608			1031.2316	0.00888335850065107	8.88335850065107	R1_J16_Bd
Rep1	16	1	82	100.125			1031.2316	0.00970926414590088	9.70926414590088	R1_J16_Bd
Rep1	16	1	83	67.535			1031.2316	0.00654896533426633	6.54896533426633	R1_J16_Bd
Rep1	16	1	84	79.398			1031.2316	0.00769933737484383	7.69933737484383	R1_J16_Bd
Rep1	16	1	85	77.666			1031.2316	0.00753138286297666	7.53138286297666	R1_J16_Bd
Rep1	16	1	86	92.763			1031.2316	0.00899536049903824	8.99536049903824	R1_J16_Bd
Rep1	16	1	87	111.328			1031.2316	0.0107956350445429	10.7956350445429	R1_J16_Bd
Rep1	16	1	88	85.607			1031.2316	0.00830143296617365	8.30143296617365	R1_J16_Bd
Rep1	16	1	89	102.083			1031.2316	0.00989913420030961	9.89913420030961	R1_J16_Bd
