rank_within	A1	A2	M8	M1	M2	M3	M4	M5	M6	M7	A2M	A3M	
11	NA	NA	Inhib_2020-09-07_3_Rep3_J18_Bd	molecH2O-for-rinse_PreBd_2020-09-28 (R910 pre) TOOK WRONG ONE: R910 pre water instead. molecH2O-for-rinse_PreBd_2020-10-05 (R910)	Non_2020-09-14_3_Rep5_J13_PreBd	Non_2020-09-19_1_Rep7_J26_PreBd	Inhib_2020-09-14_10_Rep6_J7_Bd	Inhib_2020-09-14_3_Rep5_J1_Bd	Inhib_2020-09-28_1_Rep9_J14_Bd	Inhib_2020-09-28_3_Rep9_J7_Bd	NA		
12	NA	NA	Con_2020-09-07_0_Rep4_J5_Bd	Inhib_2020-09-14_10_Rep6_J10_PreBd	Non_2020-10-05_10_Rep12_J27_PreBd	Con_2020-08-31_0_Rep1_J7_Bd	Non_2020-09-19_1_Rep7_J27_Bd	Non_2020-09-14_3_Rep6_J2_PreBd	Non_2020-09-28_3_Rep9_J26_Bd	Non_2020-10-05_10_Rep12_J23_Bd	NA		
13	NA	NA	Non_2020-09-07_10_Rep4_J2_Bd	Inhib_2020-10-05_3_Rep12_J19_Bd	Inhib_2020-09-19_10_Rep7_J19_Bd	Non_2020-09-19_1_Rep8_J18_PreBd	Non_2020-10-05_1_Rep11_J16_PreBd	Inhib_2020-09-14_1_Rep6_J24_PreBd	Non_2020-08-31_1_Rep1_J1_PreBd	Non_2020-09-28_1_Rep9_J12_Bd	NA		
14	NA	NA	Inhib_2020-09-07_10_Rep3_J12_Bd	Inhib_2020-09-19_3_Rep8_J25_PreBd	Inhib_2020-08-31_3_Rep2_J25_Bd	surfaceSwab_PostBd_2020-09-19 (R78 bd)	Non_2020-08-31_1_Rep1_J21_Bd	Non_2020-09-19_10_Rep8_J28_PreBd	Inhib_2020-09-19_10_Rep8_J4_PreBd	Inhib_2020-09-28_1_Rep9_J17_PreBd	NA		
15	NA	NA	** MISSING ** molecH2O-for-rinse_PreBd_2020-09-07 (R34 pre water)	surfaceSwab_PostBd_2020-08-31 (R1234; combined water and swab)	Inhib_2020-09-14_10_Rep5_J11_PreBd	Non_2020-09-14_1_Rep6_J28_PreBd	Non_2020-08-31_3_Rep1_J24_PreBd	molecH2O-for-rinse_PreBd_2020-08-31 (R12 pre water)	Non_2020-08-31_1_Rep2_J2_Bd	Inhib_2020-08-31_1_Rep1_J23_Bd	NA		
16	NA	NA	NA	Inhib_2020-09-28_10_Rep9_J13_Bd	Non_2020-09-19_3_Rep7_J8_PreBd	Con_2020-08-31_0_Rep2_J10_PreBd	Inhib_2020-09-14_1_Rep5_J18_Bd	Inhib_2020-09-28_1_Rep10_J16_Bd	Inhib_2020-09-28_10_Rep10_J3_Bd	molecH2O-for-rinse_PreBd_2020-10-05 (R1112 pre water)	NA		
17	NA	NA	NA	Non_2020-09-28_10_Rep9_J2_PreBd	"surfaceSwab_PostBd_2020-09-14 (R56, bd)"	Non_2020-09-19_3_Rep7_J22_Bd	Con_2020-09-19_0_Rep8_J11_Bd	Inhib_2020-09-14_3_Rep5_J15_PreBd	Non_2020-09-19_10_Rep7_J23_Bd	Con_2020-09-07_0_Rep4_J14_PreBd	NA		
18	NA	NA	NA	Non_2020-09-14_1_Rep6_J27_Bd	Inhib_2020-09-19_1_Rep7_J20_PreBd	Inhib_2020-10-05_10_Rep12_J3_Bd (used to be 13; doesn't exist)	Non_2020-10-05_3_Rep11_J28_PreBd	Inhib_2020-08-31_1_Rep2_J14_PreBd	Con_2020-09-28_0_Rep9_J11_PreBd	Non_2020-09-07_1_Rep3_J28_PreBd	NA		
19	NA	NA	NA	Inhib_2020-09-28_10_Rep10_J5_PreBd	Con_2020-08-31_0_Rep2_J19_Bd	Inhib_2020-10-05_3_Rep11_J11_Bd	Non_2020-09-28_10_Rep9_J20_Bd	Inhib_2020-09-19_1_Rep8_J3_Bd	Non_2020-09-28_1_Rep10_J1_Bd	Inhib_2020-09-07_1_Rep4_J13_PreBd	NA		
20	NA	NA	NA	Inhib_2020-09-28_3_Rep10_J25_Bd	Non_2020-09-28_3_Rep10_J27_Bd	Non_2020-10-05_1_Rep12_J18_PreBd	Con_2020-09-28_0_Rep9_J15_Bd	Inhib_2020-08-31_3_Rep2_J28_PreBd	"molecH2O-for-rinse_PreBd_2020-09-19 (R78, prewater)"	Non_2020-09-07_3_Rep3_J15_PreBd	NA		
21	NA	NA	NA	Non_2020-09-14_10_Rep5_J21_PreBd	"molecH2O-for-rinse_PostBd_2020-09-19 (R78, bd)"	Inhib_2020-09-19_3_Rep7_J10_PreBd	Inhib_2020-10-05_3_Rep11_J4_PreBd	Non_2020-09-14_10_Rep5_J4_Bd	Non_2020-08-31_10_Rep1_J26_Bd	Inhib_2020-09-07_1_Rep3_J7_PreBd	NA		
22	NA	NA	NA	Con_2020-09-14_0_Rep6_J22_Bd	Inhib_2020-08-31_10_Rep2_J18_Bd	Non_2020-10-05_3_Rep11_J25_Bd	Non_2020-09-19_3_Rep8_J7_PreBd	Con_2020-09-28_0_Rep10_J23_Bd	Con_2020-10-05_0_Rep11_J2_Bd	Inhib_2020-09-07_3_Rep4_J23_PreBd	NA		
23	NA	NA	NA	Con_2020-10-05_0_Rep12_J12_Bd	Inhib_2020-09-19_10_Rep7_J5_PreBd	Non_2020-09-19_10_Rep7_J21_PreBd	Non_2020-09-28_10_Rep10_J6_Bd	Inhib_2020-08-31_10_Rep1_J27_PreBd	Non_2020-08-31_3_Rep2_J13_PreBd	Non_2020-09-07_10_Rep4_J27_PreBd	NA		
	MYC; 10Nov2020		MYC; 14Nov2020	MYC; 11Nov2020	MYC; 12Nov2020	MYC; 12Nov2020	MYC; 13Nov2020	MYC; 13Nov2020	MYC; 13Nov2020	14-Nov-20	11-Nov-20	12-Nov-20	
													
			23				23	23	23	16	108		86
		7				11	11	11	11	6	57		100
