JarID	Rep	CV_adj	sd_CV_adj
1	Rep12	0.0239444444444444	0.00123603308118261
10	Rep11	0.891611111111111	0.00899228064014412
13	Rep11	0.257277777777778	0.00456739653534824
15	Rep11	0.00361111111111112	0.000927960727138337
16	Rep11	0.0179444444444444	0.00123603308118261
17	Rep12	0.974944444444445	0.00874801564800715
18	Rep12	0.0352777777777778	0.000927960727138337
22	Rep12	0.0199444444444444	0.000726483157256779
27	Rep12	1.14661111111111	0.00853587201820132
28	Rep11	0.0399444444444444	0.00123603308118261
4	Rep11	1.05827777777778	0.0172586532241398
6	Rep11	1.08994444444444	0.0147488229285519
7	Rep12	0.0306111111111111	0.000927960727138337
9	Rep12	0.00294444444444444	0.000726483157256779
1	Rep1	0.0316111111111111	0.000927960727138337
10	Rep2	0.00694444444444445	0.00123603308118261
12	Rep2	0.0299444444444444	0.000726483157256779
13	Rep2	0.449611111111111	0.000927960727138337
14	Rep2	0.283611111111111	0.00314024061356944
15	Rep1	0.0516111111111111	0.00169148192751537
17	Rep2	0.285277777777778	0.00169148192751537
20	Rep2	1.27661111111111	0.0249571855606979
24	Rep1	0.0346111111111111	0.000927960727138337
27	Rep1	0.726611111111111	0.00508538210079746
28	Rep2	0.474944444444444	0.00123603308118261
5	Rep1	0.0289444444444444	0.00123603308118261
8	Rep1	0.430611111111111	0.00573246117397328
9	Rep1	0.0879444444444444	0.00367801274845232
10	Rep4	0.0579444444444444	0.000726483157256779
13	Rep4	0.0232777777777778	0.000927960727138337
14	Rep4	0.0239444444444444	0.00123603308118261
15	Rep3	0.0632777777777778	0.000927960727138337
16	Rep3	0.0152777777777778	0.00169148192751536
21	Rep3	0.131944444444444	0.00406543697255016
22	Rep4	0.0376111111111111	0.00669784376580338
23	Rep4	0.138277777777778	0.00422624077770199
24	Rep3	1.12794444444444	0.0186956620042666
26	Rep4	0.451944444444444	0.00891783481444784
27	Rep4	0.374611111111111	0.00314024061356946
28	Rep3	0.0162777777777778	0.000927960727138337
4	Rep3	0.877611111111111	0.00467558671303518
7	Rep3	1.58794444444444	0.0321951514638117
10	Rep6	0.359944444444444	0.00367801274845232
11	Rep5	1.12161111111111	0.0150286762927116
13	Rep5	0.0282777777777778	0.00220479275922049
15	Rep5	0.455944444444444	0.00274367960552572
2	Rep6	0.177944444444444	0.00212785755580062
21	Rep5	0.00994444444444445	0.000726483157256779
24	Rep6	0.0236111111111111	0.000927960727138337
25	Rep5	0.0152777777777778	0.000927960727138327
26	Rep6	0.198944444444444	0.00308670986290869
28	Rep6	0.0212777777777778	0.000927960727138337
3	Rep5	0	0.00212785755580062
5	Rep5	0.0396111111111111	0.00220479275922049
6	Rep6	0.219277777777778	0.00220479275922046
9	Rep6	0.0226111111111111	0.000927960727138337
10	Rep7	0.223944444444444	0.00187823794493078
12	Rep8	0.968611111111111	0.0135963638930088
14	Rep7	0.0226111111111111	0.00136422546197874
18	Rep8	0.0462777777777778	0.00169148192751536
20	Rep7	0.0222777777777778	0.000927960727138337
21	Rep7	0	0.00187823794493077
25	Rep8	0.667277777777778	0.0104336528172597
26	Rep7	0.0249444444444444	0.00123603308118261
28	Rep8	0.148611111111111	0.00220479275922049
4	Rep8	0.879277777777778	0.0152925181415982
5	Rep7	0.954611111111111	0.0240179331148854
7	Rep8	0.119611111111111	0.00329561998888087
8	Rep7	0.0619444444444444	0.00187823794493078
9	Rep8	0.0159444444444444	0.000726483157256779
10	Rep10	1.02461111111111	0.0134484612915795
11	Rep9	0.0186111111111111	0.000927960727138337
17	Rep9	0.341944444444444	0.00441902452785426
18	Rep10	0.535611111111111	0.00136422546197874
19	Rep9	0.0149444444444445	0.00187823794493076
2	Rep9	1.26061111111111	0.021560638003341
21	Rep10	0.00894444444444445	0.00441902452785429
22	Rep10	0.892611111111111	0.00498609176721716
24	Rep10	0.0339444444444444	0.00123603308118261
28	Rep9	1.06227777777778	0.0130713852024607
4	Rep10	0.564277777777778	0.00169148192751537
5	Rep10	0.369277777777778	0.00169148192751537
8	Rep9	0.657277777777778	0.00169148192751537
9	Rep9	0.649277777777778	0.0133364579672082
