sampleID	anyedge	anyevap	primers	Run1_1	Run1_2	Run2_1	Run2_2	Run3_1	Run3_2	Run4_1	Run4_2	sd	ave_log10copies	nRep	Run1_ave	Run2_ave	Run3_ave	Run4_ave	ave_over_same_plate	R1	R2	R3	R4	totalStDev	lwr_95	upr_95
R8_J25_Pre	TRUE	FALSE	515F/806R	5.50368188512518	5.72459499263622	NA	NA	NA	NA	NA	NA	0.156209156374053	5.6141384388807	2	5.6141384388807	NA	NA	NA	TRUE	5.50368188512518	5.72459499263622	NA	NA	0.350673253365182	4.91279193215034	6.31548494561107
R10_J18_Pre	TRUE	FALSE	515F/806R	5.3740795287187	5.56553755522827	NA	NA	NA	NA	NA	NA	0.135381268857513	5.46980854197349	2	5.46980854197349	NA	NA	NA	TRUE	5.3740795287187	5.56553755522827	NA	NA	0.350673253365182	4.76846203524312	6.17115504870385
R12_J1_Pre	TRUE	FALSE	515F/806R	1.82768777614138	1.74521354933726	NA	NA	NA	NA	NA	NA	0.0583180850463136	1.78645066273932	2	1.78645066273932	NA	NA	NA	TRUE	1.82768777614138	1.74521354933726	NA	NA	0.350673253365182	1.08510415600896	2.48779716946968
R6_J10_Pre	TRUE	FALSE	515F/806R	5.44771723122238	5.6480117820324	NA	NA	NA	NA	NA	NA	0.141629635112475	5.54786450662739	2	5.54786450662739	NA	NA	NA	TRUE	5.44771723122238	5.6480117820324	NA	NA	0.350673253365182	4.84651799989702	6.24921101335775
R12_J17_Pre	FALSE	FALSE	515F/806R	5.00883652430044	5.04712812960235	NA	NA	NA	NA	NA	NA	0.0270762537715018	5.02798232695139	2	5.02798232695139	NA	NA	NA	TRUE	5.00883652430044	5.04712812960235	NA	NA	0.350673253365182	4.32663582022103	5.72932883368176
R9_J8_Pre	TRUE	FALSE	515F/806R	5.38880706921944	5.37997054491899	NA	NA	NA	NA	NA	NA	0.00624836625496211	5.38438880706921	2	5.38438880706921	NA	NA	NA	TRUE	5.38880706921944	5.37997054491899	NA	NA	0.350673253365182	4.68304230033885	6.08573531379958
R5_J21_Pre	FALSE	FALSE	515F/806R	5.45360824742268	5.42709867452135	NA	NA	NA	NA	NA	NA	0.0187450987648863	5.44035346097201	2	5.44035346097201	NA	NA	NA	TRUE	5.45360824742268	5.42709867452135	NA	NA	0.350673253365182	4.73900695424165	6.14169996770238
R1_J5_Pre	FALSE	FALSE	515F/806R	5.39469808541973	5.47422680412371	NA	NA	NA	NA	NA	NA	0.056235296294659	5.43446244477172	2	5.43446244477172	NA	NA	NA	TRUE	5.39469808541973	5.47422680412371	NA	NA	0.350673253365182	4.73311593804135	6.13580895150208
R10_J4_Pre	TRUE	FALSE	515F/806R	4.76730486008836	4.84977908689248	NA	NA	NA	NA	NA	NA	0.0583180850463124	4.80854197349042	2	4.80854197349042	NA	NA	NA	TRUE	4.76730486008836	4.84977908689248	NA	NA	0.350673253365182	4.10719546676006	5.50988848022079
R10_J5_Pre	FALSE	FALSE	515F/806R	5.21502209131075	5.23269513991163	NA	NA	NA	NA	NA	NA	0.0124967325099242	5.22385861561119	2	5.22385861561119	NA	NA	NA	TRUE	5.21502209131075	5.23269513991163	NA	NA	0.350673253365182	4.52251210888082	5.92520512234155
R9_J19_Pre	TRUE	TRUE	515F/806R	5.40942562592047	3.88659793814433	NA	NA	5.09880940266612	5.14439808690343	NA	NA	0.334880088377653	4.88480776340859	4	4.6480117820324	NA	5.12160374478477	NA	FALSE	4.6480117820324	5.12160374478477	NA	NA	0.350673253365182	4.18346125667822	5.58615427013895
R5_J5_Pre	TRUE	FALSE	515F/806R	4.58762886597938	4.32547864506627	NA	NA	NA	NA	NA	NA	0.18536819889721	4.45655375552282	2	4.45655375552282	NA	NA	NA	TRUE	4.58762886597938	4.32547864506627	NA	NA	0.350673253365182	3.75520724879246	5.15790026225319
R10_J10_Pre	TRUE	FALSE	515F/806R	5.98969072164948	6.1782032400589	NA	NA	NA	NA	NA	NA	0.133298480105858	6.08394698085419	2	6.08394698085419	NA	NA	NA	TRUE	5.98969072164948	6.1782032400589	NA	NA	0.350673253365182	5.38260047412383	6.78529348758456
R9_J2_Pre	TRUE	FALSE	515F/806R	5.87776141384388	6.10751104565537	NA	NA	NA	NA	NA	NA	0.162457522629016	5.99263622974963	2	5.99263622974963	NA	NA	NA	TRUE	5.87776141384388	6.10751104565537	NA	NA	0.350673253365182	5.29128972301926	6.69398273647999
