Run	Date	Well	Well_Type	dR_Last	Threshold_dR	Ct_dR	Quantity_copies	RSq_dR	Slope_dR	Efficiency_percent
Bact_1	16-Nov-20	C2	NTC	34417.781	5656.471	34.89	6.88E+02	0.961	-3.431	95.6
Bact_1	16-Nov-20	H3	NTC	31272.12	5656.471	35.35	5.07E+02	0.961	-3.431	95.6
Bact_1	16-Nov-20	A1	Standard	-7599.918	5656.471	11.8	1.95E+09	0.961	-3.431	95.6
Bact_1	16-Nov-20	B1	Standard	35979.269	5656.471	15.03	1.95E+08	0.961	-3.431	95.6
Bact_1	16-Nov-20	C1	Standard	1743.26	5656.471	NA	NA	0.961	-3.431	95.6
Bact_1	16-Nov-20	D2	Standard	39610.315	5656.471	25.68	1.95E+06	0.961	-3.431	95.6
Bact_1	16-Nov-20	E1	Standard	41713.444	5656.471	26.13	1.95E+05	0.961	-3.431	95.6
Bact_1	16-Nov-20	F1	Standard	37827.164	5656.471	32.2	1.95E+04	0.961	-3.431	95.6
Bact_1	16-Nov-20	G1	Standard	36744.829	5656.471	32.79	1.95E+03	0.961	-3.431	95.6
Bact_1	16-Nov-20	H1	Standard	33387.934	5656.471	34.84	1.95E+02	0.961	-3.431	95.6
Bact_1	16-Nov-20	A2	Unknown	33623.437	5656.471	13.96	8.66E+08	0.961	-3.431	95.6
Bact_1	16-Nov-20	A3	Unknown	31824.128	5656.471	12.02	3.18E+09	0.961	-3.431	95.6
Bact_1	16-Nov-20	B2	Unknown	32211.72	5656.471	13.67	1.05E+09	0.961	-3.431	95.6
Bact_1	16-Nov-20	B3	Unknown	32898.925	5656.471	14.07	8.05E+08	0.961	-3.431	95.6
Bact_1	16-Nov-20	C3	Unknown	32013.836	5656.471	13.73	1.01E+09	0.961	-3.431	95.6
Bact_1	16-Nov-20	D1	Unknown	24255.305	5656.471	15.13	3.94E+08	0.961	-3.431	95.6
Bact_1	16-Nov-20	D3	Unknown	31834.103	5656.471	13.25	1.39E+09	0.961	-3.431	95.6
Bact_1	16-Nov-20	E2	Unknown	33818.692	5656.471	13.38	1.28E+09	0.961	-3.431	95.6
Bact_1	16-Nov-20	E3	Unknown	36110.928	5656.471	15.1	4.04E+08	0.961	-3.431	95.6
Bact_1	16-Nov-20	F2	Unknown	34931.436	5656.471	14.89	4.62E+08	0.961	-3.431	95.6
Bact_1	16-Nov-20	F3	Unknown	32938.738	5656.471	14.13	7.72E+08	0.961	-3.431	95.6
Bact_1	16-Nov-20	G2	Unknown	35862.59	5656.471	16.6	1.47E+08	0.961	-3.431	95.6
Bact_1	16-Nov-20	G3	Unknown	35735.558	5656.471	16.81	1.28E+08	0.961	-3.431	95.6
Bact_1	16-Nov-20	H2	Unknown	33959.053	5656.471	11.52	4.46E+09	0.961	-3.431	95.6
Bact_1-2	18-Nov-20	A2	NTC	37214.502	5504.753	31.26	6.99E+01	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	E5	NTC	36460.525	5504.753	31.77	4.77E+01	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	A3	Standard	44779.578	5504.753	10.28	1.95E+08	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	B3	Standard	39870.91	5504.753	13.93	1.95E+07	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	C3	Standard	42491.557	5504.753	17.93	1.95E+06	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	D3	Standard	37821.827	5504.753	20.86	1.95E+05	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	E3	Standard	39088.875	5504.753	24.67	1.95E+04	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	F3	Standard	38225.677	5504.753	28.09	1.95E+03	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	G3	Standard	37137.472	5504.753	30.28	1.95E+02	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	H3	Standard	38873.86	5504.753	30.92	1.95E+01	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	A1	Unknown	39466.02	5504.753	12.83	6.11E+07	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	A4	Unknown	38231.798	5504.753	12.62	7.11E+07	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	A5	Unknown	40231.173	5504.753	25.59	4.67E+03	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	B1	Unknown	38260.891	5504.753	13.02	5.28E+07	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	B2	Unknown	40076.994	5504.753	14.51	1.75E+07	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	B4	Unknown	40036.066	5504.753	13.25	4.45E+07	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	B5	Unknown	39468.417	5504.753	13.09	5.03E+07	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	C1	Unknown	2749.316	5504.753	NA	NA	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	C2	Unknown	39138.626	5504.753	13.2	4.64E+07	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	C4	Unknown	35606.327	5504.753	15.05	1.17E+07	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	C5	Unknown	36253.745	5504.753	13.75	3.08E+07	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	D1	Unknown	39931.041	5504.753	13.15	4.80E+07	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	D2	Unknown	37564.034	5504.753	15.94	6.06E+06	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	D4	Unknown	33258.156	5504.753	10.54	3.35E+08	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	D5	Unknown	33847.636	5504.753	10.78	2.80E+08	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	E1	Unknown	44628.635	5504.753	13.27	4.40E+07	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	E2	Unknown	45237.641	5504.753	25.31	5.76E+03	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	E4	Unknown	37563.638	5504.753	12.08	1.07E+08	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	F1	Unknown	38127.036	5504.753	13.22	4.57E+07	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	F2	Unknown	39388.438	5504.753	13	5.35E+07	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	F4	Unknown	35836.945	5504.753	12.34	8.74E+07	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	F5	Unknown	38055.37	5504.753	14.38	1.93E+07	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	G1	Unknown	42825.625	5504.753	15.33	9.51E+06	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	G2	Unknown	37613.929	5504.753	13.81	2.94E+07	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	G4	Unknown	38332.526	5504.753	26.67	2.10E+03	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	G5	Unknown	35514.694	5504.753	12.93	5.66E+07	0.979	-3.102	110.1
