IsolateID	Jar_11Jar_13	Jar_16Jar_24	Jar_3Jar_17	Jar_26Jar_5	Jar_2Jar_12	Jar_21Jar_1	Jar_25Jar_28	Jar_4Jar_8	Jar_18Jar_20	Jar_22Jar_27	Jar_6Jar_14	Jar_23Jar_9	Jar_19Jar_10	Jar_7Jar_15	volPerMl
BTB_47	0	0	0	0	0	0	0	0.907029478458048	0.272108843537415	0.302343159486016	0	2.72108843537415	0	0	0.680272108843537
33B	0	0	0	0	0	0	0	0.244200244200244	0.0732600732600733	0.0814000814000813	0	0	0	0	0.183150183150183
50A	0	0	0	0	0	0	0	0.50314465408805	0	0.167714884696017	0	0	0	0	0.377358490566038
32E	0	0	0	0	0	0	0	0	0	0.111389585073795	0	0	0	0	0.25062656641604
2E	0	0	0	0	0	0	0	0	0	2.22222222222221	0	0	0	0	4.99999999999998
2H	0	0	0	0	0	0	0	0	0	0.2710027100271	0	0	0	0	0.609756097560976
13C	0	0	0	0	0	0	0	0	0	0.140203294777427	0	0	0	0	0.315457413249211
50B	0	0	0	0	0	0	1.06666666666667	0	0.32	0.355555555555555	0	0	0	0	0.8
35A	0	0	0	0	0	0	0	0	0.0845665961945032	0.093962884660559	0	0	0	0	0.211416490486258
BTB_45	0	0	0	0	0	0	0.351802990325417	0	0.105540897097625	0	1.05540897097625	0	0	0	0.263852242744063
34F	0	0	0	0	0	0	3.7037037037037	0	1.11111111111111	0	0	0	0	0	2.77777777777778
33D	0	0	0	0	0	0	0	0	0.0686106346483705	0	0	0	0	0	0.171526586620926
35E	0	0	0	0	0	0	0	0	0.11142061281337	0	0	0	0	0	0.278551532033426
2F	0	0	0	0	0	0	0	0	0.198019801980198	0	0	0	0	0	0.495049504950495
37E	0	0	0	0	0	0	0	0	0.18018018018018	0	0	0	0	0	0.45045045045045
24L	0	0.239377618192699	0	0.0718132854578097	0	0.718132854578097	0	0	0	0	0	0	0	0	0.179533213644524
40A	0	2.96296296296296	0	0.888888888888888	0	0	0	0	0	0	0	0	0	0	2.22222222222222
24D	0	0.269905533063428	0.0809716599190283	0.0809716599190283	0	0	0	0	0	0	0	0	0	0	0.202429149797571
24C	1.93236714975845	0	0.579710144927536	0.579710144927536	5.79710144927536	0	0	0	0	0	0	0	0	0	1.44927536231884
49C	0	0	0	0.0938967136150235	0	0	0	0	0	0	0	0	0	0	0.234741784037559
35B	0	0	0.43010752688172	0.43010752688172	0	0	0	0	0	0	0	0	0	0	1.0752688172043
20D	0.368324125230202	0	0.110497237569061	0.110497237569061	0	0	0	0	0	0	0	0	0	0	0.276243093922652
BTB_28	0	0	0	0.0782778864970646	0	0	0	0	0	0	0	0	0	0	0.195694716242661
25C	0	0	0	0.113636363636364	0	0	0	0	0	0	0	0	0	0	0.284090909090909
20C	0	0	0.129449838187702	0.129449838187702	0	0	0	0	0	0	0	0	0	0	0.323624595469256
47C	0.368324125230202	0	0.110497237569061	0	0	0	0	0	0	0	0	0	0	0	0.276243093922652
36E	NaN	NaN	Inf	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Inf
32G	0	0	0.0568181818181818	0	0	0	0	0	0	0	0	0	0	0	0.142045454545455
54G	0	0	0.0831600831600832	0	0	0	0	0	0	0	0	0	0	0	0.207900207900208
40B	0	0	0.952380952380952	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238
Water	1.33098459978114	0.527753885780916	-Inf	1.4227504544198	-1.79710144927536	3.2818671454219	-1.12217336069579	2.34562562325366	1.47518124917715	0.254205622101237	2.94459102902375	1.27891156462585	4	4	NA
