IsolateID	g_sp	aveCV	aveInhibZonemm	medGrowthMidpoint	BiofilmFormer	Inhibitory	randomOrder	L0	Rep	DateStart	RichNames	RichLevel
33B	Stenotrophomonas_maltophilia	1.05733333333333	1	7.51	TRUE	Inhib	7	NA	Rep2	2020-08-31	L1	NA
33B	Stenotrophomonas_maltophilia	1.05733333333333	1	7.51	TRUE	Inhib	7	NA	Rep2	2020-08-31	L2	NA
33B	Stenotrophomonas_maltophilia	1.05733333333333	1	7.51	TRUE	Inhib	7	NA	Rep2	2020-08-31	L3	10
33D	Methylorubrum_extorquens	0.169666666666667	1	24.42	TRUE	Inhib	4	NA	Rep2	2020-08-31	L1	NA
33D	Methylorubrum_extorquens	0.169666666666667	1	24.42	TRUE	Inhib	4	NA	Rep2	2020-08-31	L2	NA
33D	Methylorubrum_extorquens	0.169666666666667	1	24.42	TRUE	Inhib	4	NA	Rep2	2020-08-31	L3	10
34F	Collimonas_arenae	0.275	4	7.34	TRUE	Inhib	3	NA	Rep2	2020-08-31	L1	NA
34F	Collimonas_arenae	0.275	4	7.34	TRUE	Inhib	3	NA	Rep2	2020-08-31	L2	3
34F	Collimonas_arenae	0.275	4	7.34	TRUE	Inhib	3	NA	Rep2	2020-08-31	L3	10
35A	Phyllobacterium_myrsinacearum	0.816333333333333	3	7.76	TRUE	Inhib	10	NA	Rep1	2020-08-31	L1	NA
35A	Phyllobacterium_myrsinacearum	0.816333333333333	3	7.76	TRUE	Inhib	10	NA	Rep1	2020-08-31	L2	NA
35A	Phyllobacterium_myrsinacearum	0.816333333333333	3	7.76	TRUE	Inhib	10	NA	Rep1	2020-08-31	L3	10
35A	Phyllobacterium_myrsinacearum	0.816333333333333	3	7.76	TRUE	Inhib	6	NA	Rep2	2020-08-31	L1	NA
35A	Phyllobacterium_myrsinacearum	0.816333333333333	3	7.76	TRUE	Inhib	6	NA	Rep2	2020-08-31	L2	NA
35A	Phyllobacterium_myrsinacearum	0.816333333333333	3	7.76	TRUE	Inhib	6	NA	Rep2	2020-08-31	L3	10
35B	Frondihabitans_peucedani	1.12166666666667	0	0	TRUE	Non	6	NA	Rep1	2020-08-31	L1	NA
35B	Frondihabitans_peucedani	1.12166666666667	0	0	TRUE	Non	6	NA	Rep1	2020-08-31	L2	NA
35B	Frondihabitans_peucedani	1.12166666666667	0	0	TRUE	Non	6	NA	Rep1	2020-08-31	L3	10
35B	Frondihabitans_peucedani	1.12166666666667	0	0	TRUE	Non	6	NA	Rep2	2020-08-31	L1	NA
