0	1	2	3	4	5	6	7	8	9	10	11	12
A	BTB_45	2H	2E	40A	49C	BTB_45	13C	37E				
B	BTB_47	35A	47C	33D	20D	25C	34F	2F				
C	34F	32G	50B	47C	35E	37E	40B	33B				
D	35E	TRYP	25C	32E	24D	35B	32G	24C				
E	50B	40A	13C	24L	33D	BTB_28	20D	36E				
F	32E	TRYP	36E	20C	2E	40B	24L	BTB_47				
G	20C	TRYP	35A	24C	33B	54G	49C	BTB_28				
H	2H	2F	24D	35B	54G	50A	50A					
