Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
 1	R	 3	 2	SYBR	  1	    63694	66.7
 1	R	 3	 2	SYBR	  1	    63681	66.7
 1	R	 3	 2	SYBR	  1	    63745	66.9
 1	R	 3	 2	SYBR	  1	    63703	67.0
 1	R	 3	 2	SYBR	  1	    63621	67.2
 1	R	 3	 2	SYBR	  1	    63650	67.2
 1	R	 3	 2	SYBR	  1	    63623	67.4
 1	R	 3	 2	SYBR	  1	    63650	67.5
 1	R	 3	 2	SYBR	  1	    63644	67.5
 1	R	 3	 2	SYBR	  1	    63652	67.7
 1	R	 3	 2	SYBR	  1	    63603	67.9
 1	R	 3	 2	SYBR	  1	    63476	68.0
 1	R	 3	 2	SYBR	  1	    63534	68.0
 1	R	 3	 2	SYBR	  1	    63573	68.2
 1	R	 3	 2	SYBR	  1	    63516	68.4
 1	R	 3	 2	SYBR	  1	    63535	68.5
 1	R	 3	 2	SYBR	  1	    63524	68.5
 1	R	 3	 2	SYBR	  1	    63451	68.7
 1	R	 3	 2	SYBR	  1	    63371	68.7
 1	R	 3	 2	SYBR	  1	    63431	69.0
 1	R	 3	 2	SYBR	  1	    63360	69.0
 1	R	 3	 2	SYBR	  1	    63357	69.2
 1	R	 3	 2	SYBR	  1	    63306	69.2
 1	R	 3	 2	SYBR	  1	    63154	69.4
 1	R	 3	 2	SYBR	  1	    63207	69.5
 1	R	 3	 2	SYBR	  1	    63130	69.7
 1	R	 3	 2	SYBR	  1	    63168	69.7
 1	R	 3	 2	SYBR	  1	    63023	69.9
 1	R	 3	 2	SYBR	  1	    63012	70.0
 1	R	 3	 2	SYBR	  1	    63025	70.0
 1	R	 3	 2	SYBR	  1	    62922	70.2
 1	R	 3	 2	SYBR	  1	    62930	70.4
 1	R	 3	 2	SYBR	  1	    62806	70.5
 1	R	 3	 2	SYBR	  1	    62814	70.5
 1	R	 3	 2	SYBR	  1	    62811	70.7
 1	R	 3	 2	SYBR	  1	    62761	70.9
 1	R	 3	 2	SYBR	  1	    62626	71.0
 1	R	 3	 2	SYBR	  1	    62653	71.0
 1	R	 3	 2	SYBR	  1	    62563	71.2
 1	R	 3	 2	SYBR	  1	    62501	71.4
 1	R	 3	 2	SYBR	  1	    62582	71.5
 1	R	 3	 2	SYBR	  1	    62508	71.5
 1	R	 3	 2	SYBR	  1	    62410	71.7
 1	R	 3	 2	SYBR	  1	    62411	71.9
 1	R	 3	 2	SYBR	  1	    62439	72.0
 1	R	 3	 2	SYBR	  1	    62312	72.0
 1	R	 3	 2	SYBR	  1	    62204	72.2
 1	R	 3	 2	SYBR	  1	    62230	72.2
 1	R	 3	 2	SYBR	  1	    62251	72.5
 1	R	 3	 2	SYBR	  1	    62231	72.5
 1	R	 3	 2	SYBR	  1	    62121	72.7
 1	R	 3	 2	SYBR	  1	    62148	72.7
 1	R	 3	 2	SYBR	  1	    62145	72.9
 1	R	 3	 2	SYBR	  1	    62056	73.0
 1	R	 3	 2	SYBR	  1	    61984	73.2
 1	R	 3	 2	SYBR	  1	    62001	73.2
 1	R	 3	 2	SYBR	  1	    61897	73.4
 1	R	 3	 2	SYBR	  1	    61899	73.5
 1	R	 3	 2	SYBR	  1	    61908	73.5
 1	R	 3	 2	SYBR	  1	    61852	73.7
 1	R	 3	 2	SYBR	  1	    61812	73.9
 1	R	 3	 2	SYBR	  1	    61756	74.0
 1	R	 3	 2	SYBR	  1	    61720	74.0
 1	R	 3	 2	SYBR	  1	    61650	74.2
 1	R	 3	 2	SYBR	  1	    61670	74.4
 1	R	 3	 2	SYBR	  1	    61687	74.5
 1	R	 3	 2	SYBR	  1	    61671	74.5
 1	R	 3	 2	SYBR	  1	    61577	74.7
 1	R	 3	 2	SYBR	  1	    61507	74.9
 1	R	 3	 2	SYBR	  1	    61536	75.0
 1	R	 3	 2	SYBR	  1	    61486	75.0
 1	R	 3	 2	SYBR	  1	    61485	75.2
 1	R	 3	 2	SYBR	  1	    61399	75.2
 1	R	 3	 2	SYBR	  1	    61442	75.4
 1	R	 3	 2	SYBR	  1	    61318	75.5
 1	R	 3	 2	SYBR	  1	    61346	75.7
 1	R	 3	 2	SYBR	  1	    61278	75.7
 1	R	 3	 2	SYBR	  1	    61304	75.9
 1	R	 3	 2	SYBR	  1	    61290	76.0
 1	R	 3	 2	SYBR	  1	    61218	76.2
 1	R	 3	 2	SYBR	  1	    61207	76.2
 1	R	 3	 2	SYBR	  1	    61148	76.4
 1	R	 3	 2	SYBR	  1	    61125	76.5
 1	R	 3	 2	SYBR	  1	    61170	76.7
 1	R	 3	 2	SYBR	  1	    60924	76.7
 1	R	 3	 2	SYBR	  1	    60858	76.9
 1	R	 3	 2	SYBR	  1	    61029	77.0
 1	R	 3	 2	SYBR	  1	    60847	77.0
 1	R	 3	 2	SYBR	  1	    60846	77.2
 1	R	 3	 2	SYBR	  1	    60894	77.4
 1	R	 3	 2	SYBR	  1	    60800	77.5
 1	R	 3	 2	SYBR	  1	    60776	77.5
 1	R	 3	 2	SYBR	  1	    60794	77.7
 1	R	 3	 2	SYBR	  1	    60767	77.9
 1	R	 3	 2	SYBR	  1	    60689	78.0
 1	R	 3	 2	SYBR	  1	    60619	78.0
 1	R	 3	 2	SYBR	  1	    60625	78.2
 1	R	 3	 2	SYBR	  1	    60659	78.4
 1	R	 3	 2	SYBR	  1	    60521	78.5
 1	R	 3	 2	SYBR	  1	    60544	78.5
 1	R	 3	 2	SYBR	  1	    60469	78.7
 1	R	 3	 2	SYBR	  1	    60470	78.7
 1	R	 3	 2	SYBR	  1	    60425	79.0
 1	R	 3	 2	SYBR	  1	    60303	79.0
 1	R	 3	 2	SYBR	  1	    60298	79.2
 1	R	 3	 2	SYBR	  1	    60267	79.2
 1	R	 3	 2	SYBR	  1	    60323	79.4
 1	R	 3	 2	SYBR	  1	    60284	79.5
 1	R	 3	 2	SYBR	  1	    60132	79.7
 1	R	 3	 2	SYBR	  1	    60061	79.7
 1	R	 3	 2	SYBR	  1	    60061	79.9
 1	R	 3	 2	SYBR	  1	    60068	80.0
 1	R	 3	 2	SYBR	  1	    60054	80.2
 1	R	 3	 2	SYBR	  1	    59969	80.2
 1	R	 3	 2	SYBR	  1	    59926	80.4
 1	R	 3	 2	SYBR	  1	    59966	80.5
 1	R	 3	 2	SYBR	  1	    59808	80.5
 1	R	 3	 2	SYBR	  1	    59662	80.7
 1	R	 3	 2	SYBR	  1	    59688	80.9
 1	R	 3	 2	SYBR	  1	    59529	81.0
 1	R	 3	 2	SYBR	  1	    59546	81.0
 1	R	 3	 2	SYBR	  1	    59528	81.2
 1	R	 3	 2	SYBR	  1	    59440	81.4
 1	R	 3	 2	SYBR	  1	    59322	81.5
 1	R	 3	 2	SYBR	  1	    59364	81.5
 1	R	 3	 2	SYBR	  1	    59289	81.7
 1	R	 3	 2	SYBR	  1	    59052	81.9
 1	R	 3	 2	SYBR	  1	    59161	82.0
 1	R	 3	 2	SYBR	  1	    59152	82.0
 1	R	 3	 2	SYBR	  1	    59052	82.2
 1	R	 3	 2	SYBR	  1	    58924	82.2
 1	R	 3	 2	SYBR	  1	    58824	82.4
 1	R	 3	 2	SYBR	  1	    58830	82.5
 1	R	 3	 2	SYBR	  1	    58663	82.7
 1	R	 3	 2	SYBR	  1	    58729	82.7
 1	R	 3	 2	SYBR	  1	    58658	82.9
 1	R	 3	 2	SYBR	  1	    58646	83.0
 1	R	 3	 2	SYBR	  1	    58540	83.2
 1	R	 3	 2	SYBR	  1	    58526	83.2
 1	R	 3	 2	SYBR	  1	    58400	83.4
 1	R	 3	 2	SYBR	  1	    58323	83.5
 1	R	 3	 2	SYBR	  1	    58202	83.5
 1	R	 3	 2	SYBR	  1	    58224	83.7
 1	R	 3	 2	SYBR	  1	    58303	83.9
 1	R	 3	 2	SYBR	  1	    58105	84.0
 1	R	 3	 2	SYBR	  1	    57940	84.0
 1	R	 3	 2	SYBR	  1	    58043	84.2
 1	R	 3	 2	SYBR	  1	    57895	84.4
 1	R	 3	 2	SYBR	  1	    57751	84.5
 1	R	 3	 2	SYBR	  1	    57648	84.5
 1	R	 3	 2	SYBR	  1	    57671	84.7
 1	R	 3	 2	SYBR	  1	    57609	84.9
 1	R	 3	 2	SYBR	  1	    57676	85.0
 1	R	 3	 2	SYBR	  1	    57304	85.0
 1	R	 3	 2	SYBR	  1	    57239	85.2
 1	R	 3	 2	SYBR	  1	    57206	85.2
 1	R	 3	 2	SYBR	  1	    57337	85.5
 1	R	 3	 2	SYBR	  1	    56915	85.5
 1	R	 3	 2	SYBR	  1	    56935	85.7
 1	R	 3	 2	SYBR	  1	    56776	85.7
 1	R	 3	 2	SYBR	  1	    56620	85.9
 1	R	 3	 2	SYBR	  1	    56567	86.0
 1	R	 3	 2	SYBR	  1	    56458	86.2
 1	R	 3	 2	SYBR	  1	    56161	86.2
 1	R	 3	 2	SYBR	  1	    55923	86.4
 1	R	 3	 2	SYBR	  1	    55661	86.5
 1	R	 3	 2	SYBR	  1	    55275	86.5
 1	R	 3	 2	SYBR	  1	    54673	86.7
 1	R	 3	 2	SYBR	  1	    53881	86.9
 1	R	 3	 2	SYBR	  1	    53008	87.0
 1	R	 3	 2	SYBR	  1	    51380	87.0
 1	R	 3	 2	SYBR	  1	    48981	87.2
 1	R	 3	 2	SYBR	  1	    46562	87.4
 1	R	 3	 2	SYBR	  1	    42236	87.5
 1	R	 3	 2	SYBR	  1	    37399	87.5
 1	R	 3	 2	SYBR	  1	    32921	87.7
 1	R	 3	 2	SYBR	  1	    28857	87.7
 1	R	 3	 2	SYBR	  1	    25079	87.9
 1	R	 3	 2	SYBR	  1	    21758	88.0
 1	R	 3	 2	SYBR	  1	    18957	88.2
 1	R	 3	 2	SYBR	  1	    16915	88.4
 1	R	 3	 2	SYBR	  1	    15080	88.4
 1	R	 3	 2	SYBR	  1	    14206	88.5
 1	R	 3	 2	SYBR	  1	    13499	88.7
 1	R	 3	 2	SYBR	  1	    13149	88.7
 1	R	 3	 2	SYBR	  1	    12889	88.9
 1	R	 3	 2	SYBR	  1	    12586	89.0
 1	R	 3	 2	SYBR	  1	    12403	89.0
 1	R	 3	 2	SYBR	  1	    12213	89.2
 1	R	 3	 2	SYBR	  1	    12082	89.4
 1	R	 3	 2	SYBR	  1	    11874	89.5
 1	R	 3	 2	SYBR	  1	    11753	89.5
 1	R	 3	 2	SYBR	  1	    11715	89.7
 1	R	 3	 2	SYBR	  1	    11482	89.9
 1	R	 3	 2	SYBR	  1	    11364	90.0
 1	R	 3	 2	SYBR	  1	    11150	90.0
 1	R	 3	 2	SYBR	  1	    11120	90.2
 1	R	 3	 2	SYBR	  1	    10920	90.2
 1	R	 3	 2	SYBR	  1	    10699	90.5
 1	R	 3	 2	SYBR	  1	    10618	90.5
 1	R	 3	 2	SYBR	  1	    10458	90.7
 1	R	 3	 2	SYBR	  1	    10363	90.7
 1	R	 3	 2	SYBR	  1	    10193	90.9
 1	R	 3	 2	SYBR	  1	     9975	91.0
 1	R	 3	 2	SYBR	  1	     9857	91.2
 1	R	 3	 2	SYBR	  1	     9650	91.2
 1	R	 3	 2	SYBR	  1	     9417	91.4
 1	R	 3	 2	SYBR	  1	     9334	91.5
 1	R	 3	 2	SYBR	  1	     9103	91.7
 1	R	 3	 2	SYBR	  1	     8847	91.9
 1	R	 3	 2	SYBR	  1	     8558	91.9
 1	R	 3	 2	SYBR	  1	     8473	92.0
 1	R	 3	 2	SYBR	  1	     8350	92.0
 1	R	 3	 2	SYBR	  1	     8187	92.2
 1	R	 3	 2	SYBR	  1	     7988	92.5
 1	R	 3	 2	SYBR	  1	     7874	92.5
 1	R	 3	 2	SYBR	  1	     7693	92.5
 1	R	 3	 2	SYBR	  1	     7533	92.7
 1	R	 3	 2	SYBR	  1	     7520	92.9
 1	R	 3	 2	SYBR	  1	     7381	93.0
 1	R	 3	 2	SYBR	  1	     7357	93.0
 1	R	 3	 2	SYBR	  1	     7184	93.2
 1	R	 3	 2	SYBR	  1	     7170	93.2
