Well 	Well Type 	  dR Last 	Threshold (dR) 	Ct (dR) 	Quantity (copies) 	RSq (dR) 	Slope (dR) 	Efficiency (%) 	
  A1 	  Unknown 	54801.529 	      8203.069 	  23.84 	       2.790e+003 	   0.985 	    -3.079 	         111.2 	
  A2 	  Unknown 	54435.565 	      8203.069 	  27.75 	       1.498e+002 	   0.985 	    -3.079 	         111.2 	
  A3 	  Unknown 	51955.676 	      8203.069 	  27.10 	       2.436e+002 	   0.985 	    -3.079 	         111.2 	
  A4 	  Unknown 	55883.371 	      8203.069 	  29.99 	       2.808e+001 	   0.985 	    -3.079 	         111.2 	
  A5 	  Unknown 	56747.827 	      8203.069 	  23.78 	       2.917e+003 	   0.985 	    -3.079 	         111.2 	
  A6 	 Standard 	52449.584 	      8203.069 	  11.53 	        1.95e+007 	   0.985 	    -3.079 	         111.2 	
  A7 	  Unknown 	55690.249 	      8203.069 	  20.18 	       4.301e+004 	   0.985 	    -3.079 	         111.2 	
  A8 	  Unknown 	55502.076 	      8203.069 	  25.30 	       9.389e+002 	   0.985 	    -3.079 	         111.2 	
  A9 	  Unknown 	54893.891 	      8203.069 	  25.93 	       5.862e+002 	   0.985 	    -3.079 	         111.2 	
 A10 	  Unknown 	55670.372 	      8203.069 	  20.65 	       3.026e+004 	   0.985 	    -3.079 	         111.2 	
 A11 	  Unknown 	56140.750 	      8203.069 	  28.20 	       1.071e+002 	   0.985 	    -3.079 	         111.2 	
 A12 	  Unknown 	55821.214 	      8203.069 	  25.28 	       9.508e+002 	   0.985 	    -3.079 	         111.2 	
  B1 	  Unknown 	57283.768 	      8203.069 	  29.53 	       3.961e+001 	   0.985 	    -3.079 	         111.2 	
  B2 	  Unknown 	55188.610 	      8203.069 	  19.23 	       8.773e+004 	   0.985 	    -3.079 	         111.2 	
  B3 	      NTC 	55250.393 	      8203.069 	  32.37 	             4.71 	   0.985 	    -3.079 	         111.2 	
  B4 	  Unknown 	56604.508 	      8203.069 	  25.19 	       1.015e+003 	   0.985 	    -3.079 	         111.2 	
  B5 	  Unknown 	56342.736 	      8203.069 	  28.36 	       9.475e+001 	   0.985 	    -3.079 	         111.2 	
  B6 	 Standard 	49654.583 	      8203.069 	  14.79 	        1.95e+006 	   0.985 	    -3.079 	         111.2 	
  B7 	  Unknown 	55030.583 	      8203.069 	  27.51 	       1.789e+002 	   0.985 	    -3.079 	         111.2 	
  B8 	  Unknown 	55965.017 	      8203.069 	  29.31 	       4.650e+001 	   0.985 	    -3.079 	         111.2 	
  B9 	  Unknown 	57228.908 	      8203.069 	  24.41 	       1.818e+003 	   0.985 	    -3.079 	         111.2 	
 B10 	  Unknown 	56371.385 	      8203.069 	  25.64 	       7.263e+002 	   0.985 	    -3.079 	         111.2 	
 B11 	  Unknown 	57152.600 	      8203.069 	  21.47 	       1.640e+004 	   0.985 	    -3.079 	         111.2 	
