Well 	Well Type 	  dR Last 	Threshold (dR) 	Ct (dR) 	Quantity (copies) 	RSq (dR) 	Slope (dR) 	Efficiency (%) 	
  A2 	 Standard 	44085.568 	      4633.448 	   7.41 	        1.95e+008 	   0.994 	    -3.288 	         101.4 	
  A3 	  Unknown 	37879.083 	      4633.448 	  16.13 	       6.050e+005 	   0.994 	    -3.288 	         101.4 	
  A4 	  Unknown 	38716.661 	      4633.448 	  23.94 	       2.548e+003 	   0.994 	    -3.288 	         101.4 	
  A5 	      NTC 	37608.446 	      4633.448 	  30.66 	       2.303e+001 	   0.994 	    -3.288 	         101.4 	
  A6 	      NTC 	47412.265 	      4633.448 	  31.06 	       1.732e+001 	   0.994 	    -3.288 	         101.4 	
  A7 	  Unknown 	37656.811 	      4633.448 	  16.96 	       3.379e+005 	   0.994 	    -3.288 	         101.4 	
  A8 	      NTC 	36047.472 	      4633.448 	  31.01 	       1.797e+001 	   0.994 	    -3.288 	         101.4 	
  A9 	      NTC 	39682.807 	      4633.448 	  30.52 	       2.538e+001 	   0.994 	    -3.288 	         101.4 	
 A10 	      NTC 	40375.622 	      4633.448 	  30.55 	       2.477e+001 	   0.994 	    -3.288 	         101.4 	
 A11 	  Unknown 	36590.151 	      4633.448 	  29.20 	       6.386e+001 	   0.994 	    -3.288 	         101.4 	
 A12 	  Unknown 	37668.244 	      4633.448 	  29.50 	       5.173e+001 	   0.994 	    -3.288 	         101.4 	
  B2 	 Standard 	32572.515 	      4633.448 	  11.20 	        1.95e+007 	   0.994 	    -3.288 	         101.4 	
  B3 	  Unknown 	33860.408 	      4633.448 	  22.87 	       5.360e+003 	   0.994 	    -3.288 	         101.4 	
  B4 	  Unknown 	33107.795 	      4633.448 	  25.30 	       9.813e+002 	   0.994 	    -3.288 	         101.4 	
  B5 	  Unknown 	37075.817 	      4633.448 	  29.40 	       5.540e+001 	   0.994 	    -3.288 	         101.4 	
  B6 	  Unknown 	33016.808 	      4633.448 	  12.32 	       8.707e+006 	   0.994 	    -3.288 	         101.4 	
  B7 	  Unknown 	31066.324 	      4633.448 	  13.38 	       4.148e+006 	   0.994 	    -3.288 	         101.4 	
  B8 	  Unknown 	32327.193 	      4633.448 	  12.03 	       1.067e+007 	   0.994 	    -3.288 	         101.4 	
  B9 	  Unknown 	31864.540 	      4633.448 	  11.71 	       1.330e+007 	   0.994 	    -3.288 	         101.4 	
 B10 	      NTC 	33346.990 	      4633.448 	  30.44 	       2.679e+001 	   0.994 	    -3.288 	         101.4 	
 B11 	  Unknown 	33827.453 	      4633.448 	  11.70 	       1.345e+007 	   0.994 	    -3.288 	         101.4 	
 B12 	  Unknown 	33540.291 	      4633.448 	  12.82 	       6.141e+006 	   0.994 	    -3.288 	         101.4 	
  C3 	  Unknown 	20179.608 	      4633.448 	  10.71 	       2.689e+007 	   0.994 	    -3.288 	         101.4 	
  C4 	  Unknown 	28928.256 	      4633.448 	  13.36 	       4.186e+006 	   0.994 	    -3.288 	         101.4 	
  C5 	  Unknown 	29669.780 	      4633.448 	  14.92 	       1.411e+006 	   0.994 	    -3.288 	         101.4 	
  C6 	  Unknown 	32515.317 	      4633.448 	  11.17 	       1.940e+007 	   0.994 	    -3.288 	         101.4 	
  C7 	  Unknown 	29153.240 	      4633.448 	  15.94 	       6.884e+005 	   0.994 	    -3.288 	         101.4 	
  C8 	  Unknown 	22569.917 	      4633.448 	  10.72 	       2.662e+007 	   0.994 	    -3.288 	         101.4 	
  C9 	      NTC 	30808.424 	      4633.448 	  29.84 	       4.090e+001 	   0.994 	    -3.288 	         101.4 	
 C10 	  Unknown 	29976.277 	      4633.448 	  13.02 	       5.316e+006 	   0.994 	    -3.288 	         101.4 	
 C11 	  Unknown 	19223.471 	      4633.448 	  11.09 	       2.058e+007 	   0.994 	    -3.288 	         101.4 	
 C12 	  Unknown 	30984.605 	      4633.448 	  16.24 	       5.578e+005 	   0.994 	    -3.288 	         101.4 	
  D2 	 Standard 	32967.707 	      4633.448 	  17.69 	        1.95e+005 	   0.994 	    -3.288 	         101.4 	
  D3 	  Unknown 	27792.570 	      4633.448 	  14.48 	       1.913e+006 	   0.994 	    -3.288 	         101.4 	
  D4 	  Unknown 	25831.439 	      4633.448 	  11.79 	       1.258e+007 	   0.994 	    -3.288 	         101.4 	
  D5 	  Unknown 	32101.353 	      4633.448 	  21.27 	       1.646e+004 	   0.994 	    -3.288 	         101.4 	
  D6 	  Unknown 	25259.087 	      4633.448 	  10.87 	       2.403e+007 	   0.994 	    -3.288 	         101.4 	
  D7 	  Unknown 	29137.361 	      4633.448 	  12.22 	       9.345e+006 	   0.994 	    -3.288 	         101.4 	
  D8 	  Unknown 	32489.388 	      4633.448 	  22.65 	       6.287e+003 	   0.994 	    -3.288 	         101.4 	
  D9 	  Unknown 	33215.804 	      4633.448 	  27.49 	       2.116e+002 	   0.994 	    -3.288 	         101.4 	
 D10 	  Unknown 	32869.769 	      4633.448 	  23.29 	       4.006e+003 	   0.994 	    -3.288 	         101.4 	
 D11 	  Unknown 	28022.635 	      4633.448 	  13.36 	       4.196e+006 	   0.994 	    -3.288 	         101.4 	
 D12 	  Unknown 	32448.282 	      4633.448 	  13.45 	       3.930e+006 	   0.994 	    -3.288 	         101.4 	
  E2 	 Standard 	37706.716 	      4633.448 	  21.42 	        1.95e+004 	   0.994 	    -3.288 	         101.4 	
  E3 	  Unknown 	22689.790 	      4633.448 	  10.76 	       2.593e+007 	   0.994 	    -3.288 	         101.4 	
  E4 	  Unknown 	31022.640 	      4633.448 	  12.77 	       6.334e+006 	   0.994 	    -3.288 	         101.4 	
  E5 	  Unknown 	32367.621 	      4633.448 	  22.26 	       8.217e+003 	   0.994 	    -3.288 	         101.4 	
  E6 	  Unknown 	32340.592 	      4633.448 	  12.62 	       7.065e+006 	   0.994 	    -3.288 	         101.4 	
  E7 	  Unknown 	33819.460 	      4633.448 	  22.66 	       6.214e+003 	   0.994 	    -3.288 	         101.4 	
  E8 	  Unknown 	36372.022 	      4633.448 	  31.22 	       1.553e+001 	   0.994 	    -3.288 	         101.4 	
  E9 	  Unknown 	19026.329 	      4633.448 	  11.33 	       1.741e+007 	   0.994 	    -3.288 	         101.4 	
 E10 	  Unknown 	33409.747 	      4633.448 	  14.33 	       2.133e+006 	   0.994 	    -3.288 	         101.4 	
 E11 	  Unknown 	30460.396 	      4633.448 	  13.77 	       3.157e+006 	   0.994 	    -3.288 	         101.4 	
 E12 	  Unknown 	30541.935 	      4633.448 	  11.34 	       1.722e+007 	   0.994 	    -3.288 	         101.4 	
  F2 	 Standard 	35873.121 	      4633.448 	  25.15 	        1.95e+003 	   0.994 	    -3.288 	         101.4 	
  F3 	  Unknown 	25384.280 	      4633.448 	  12.20 	       9.468e+006 	   0.994 	    -3.288 	         101.4 	
  F4 	  Unknown 	31937.472 	      4633.448 	  21.84 	       1.105e+004 	   0.994 	    -3.288 	         101.4 	
  F5 	  Unknown 	18094.759 	      4633.448 	  10.14 	       4.001e+007 	   0.994 	    -3.288 	         101.4 	
  F6 	  Unknown 	26175.905 	      4633.448 	  11.57 	       1.475e+007 	   0.994 	    -3.288 	         101.4 	
  F7 	  Unknown 	28334.721 	      4633.448 	  12.12 	       9.995e+006 	   0.994 	    -3.288 	         101.4 	
  F8 	  Unknown 	29752.348 	      4633.448 	  13.36 	       4.192e+006 	   0.994 	    -3.288 	         101.4 	
  F9 	  Unknown 	31350.486 	      4633.448 	  19.61 	       5.269e+004 	   0.994 	    -3.288 	         101.4 	
 F10 	  Unknown 	27432.061 	      4633.448 	  10.40 	       3.346e+007 	   0.994 	    -3.288 	         101.4 	
 F11 	  Unknown 	26274.100 	      4633.448 	  13.18 	       4.750e+006 	   0.994 	    -3.288 	         101.4 	
 F12 	  Unknown 	33972.501 	      4633.448 	  16.63 	       4.257e+005 	   0.994 	    -3.288 	         101.4 	
  G2 	 Standard 	34259.770 	      4633.448 	  28.05 	        1.95e+002 	   0.994 	    -3.288 	         101.4 	
  G3 	  Unknown 	26104.344 	      4633.448 	  11.64 	       1.396e+007 	   0.994 	    -3.288 	         101.4 	
  G4 	  Unknown 	33101.949 	      4633.448 	  25.82 	       6.830e+002 	   0.994 	    -3.288 	         101.4 	
  G5 	  Unknown 	19185.681 	      4633.448 	   9.72 	       5.380e+007 	   0.994 	    -3.288 	         101.4 	
  G6 	  Unknown 	35182.955 	      4633.448 	  16.12 	       6.095e+005 	   0.994 	    -3.288 	         101.4 	
  G7 	  Unknown 	33294.872 	      4633.448 	  23.39 	       3.728e+003 	   0.994 	    -3.288 	         101.4 	
