Well 	Well Type 	  dR Last 	Threshold (dR) 	Ct (dR) 	Quantity (copies) 	RSq (dR) 	Slope (dR) 	Efficiency (%) 	
  A1 	 Standard 	-7599.918 	      5656.471 	  11.80 	        1.95e+009 	   0.961 	    -3.431 	          95.6 	
  A2 	  Unknown 	33623.437 	      5656.471 	  13.96 	       8.659e+008 	   0.961 	    -3.431 	          95.6 	
  A3 	  Unknown 	31824.128 	      5656.471 	  12.02 	       3.176e+009 	   0.961 	    -3.431 	          95.6 	
  B1 	 Standard 	35979.269 	      5656.471 	  15.03 	        1.95e+008 	   0.961 	    -3.431 	          95.6 	
  B2 	  Unknown 	32211.720 	      5656.471 	  13.67 	       1.052e+009 	   0.961 	    -3.431 	          95.6 	
  B3 	  Unknown 	32898.925 	      5656.471 	  14.07 	       8.053e+008 	   0.961 	    -3.431 	          95.6 	
  C1 	 Standard 	 1743.260 	      5656.471 	  No Ct 	            No Ct 	   0.961 	    -3.431 	          95.6 	
  C2 	      NTC 	34417.781 	      5656.471 	  34.89 	       6.884e+002 	   0.961 	    -3.431 	          95.6 	
  C3 	  Unknown 	32013.836 	      5656.471 	  13.73 	       1.009e+009 	   0.961 	    -3.431 	          95.6 	
  D1 	  Unknown 	24255.305 	      5656.471 	  15.13 	       3.943e+008 	   0.961 	    -3.431 	          95.6 	
  D2 	 Standard 	39610.315 	      5656.471 	  25.68 	        1.95e+006 	   0.961 	    -3.431 	          95.6 	
  D3 	  Unknown 	31834.103 	      5656.471 	  13.25 	       1.391e+009 	   0.961 	    -3.431 	          95.6 	
  E1 	 Standard 	41713.444 	      5656.471 	  26.13 	        1.95e+005 	   0.961 	    -3.431 	          95.6 	
  E2 	  Unknown 	33818.692 	      5656.471 	  13.38 	       1.277e+009 	   0.961 	    -3.431 	          95.6 	
  E3 	  Unknown 	36110.928 	      5656.471 	  15.10 	       4.037e+008 	   0.961 	    -3.431 	          95.6 	
  F1 	 Standard 	37827.164 	      5656.471 	  32.20 	        1.95e+004 	   0.961 	    -3.431 	          95.6 	
  F2 	  Unknown 	34931.436 	      5656.471 	  14.89 	       4.624e+008 	   0.961 	    -3.431 	          95.6 	
  F3 	  Unknown 	32938.738 	      5656.471 	  14.13 	       7.718e+008 	   0.961 	    -3.431 	          95.6 	
  G1 	 Standard 	36744.829 	      5656.471 	  32.79 	        1.95e+003 	   0.961 	    -3.431 	          95.6 	
  G2 	  Unknown 	35862.590 	      5656.471 	  16.60 	       1.470e+008 	   0.961 	    -3.431 	          95.6 	
  G3 	  Unknown 	35735.558 	      5656.471 	  16.81 	       1.278e+008 	   0.961 	    -3.431 	          95.6 	
  H1 	 Standard 	33387.934 	      5656.471 	  34.84 	        1.95e+002 	   0.961 	    -3.431 	          95.6 	
  H2 	  Unknown 	33959.053 	      5656.471 	  11.52 	       4.459e+009 	   0.961 	    -3.431 	          95.6 	
  H3 	      NTC 	31272.120 	      5656.471 	  35.35 	       5.065e+002 	   0.961 	    -3.431 	          95.6 	
