Well 	Well Type 	R Last 	  dR Last 	Threshold (dR) 	Ct (dR) 	Quantity (copies) 	RSq (dR) 	Slope (dR) 	Efficiency (%) 	
  B6 	  Unknown 	 63119 	55099.435 	      7783.313 	  25.88 	       1.156e+003 	   0.998 	    -3.503 	          93.0 	
  B7 	 Standard 	 63882 	49510.297 	      7783.313 	  11.22 	        1.95e+007 	   0.998 	    -3.503 	          93.0 	
  B8 	  Unknown 	 64036 	51759.115 	      7783.313 	  27.72 	       3.440e+002 	   0.998 	    -3.503 	          93.0 	
  B9 	  Unknown 	 63911 	54198.461 	      7783.313 	  17.47 	       2.913e+005 	   0.998 	    -3.503 	          93.0 	
 B10 	  Unknown 	 63729 	55106.439 	      7783.313 	  26.03 	       1.045e+003 	   0.998 	    -3.503 	          93.0 	
 B11 	      NTC 	 62772 	54901.660 	      7783.313 	  43.52 	       1.060e-002 	   0.998 	    -3.503 	          93.0 	
 B12 	  Unknown 	 61589 	52898.182 	      7783.313 	  31.26 	       3.356e+001 	   0.998 	    -3.503 	          93.0 	
  C1 	  Unknown 	 55615 	46956.588 	      7783.313 	  31.72 	       2.486e+001 	   0.998 	    -3.503 	          93.0 	
  C2 	      NTC 	 62221 	54453.931 	      7783.313 	  37.10 	       7.225e-001 	   0.998 	    -3.503 	          93.0 	
  C3 	  Unknown 	 63711 	54875.804 	      7783.313 	  31.55 	       2.783e+001 	   0.998 	    -3.503 	          93.0 	
  C4 	  Unknown 	 64285 	54811.403 	      7783.313 	  19.54 	       7.426e+004 	   0.998 	    -3.503 	          93.0 	
  C5 	  Unknown 	 64376 	55082.144 	      7783.313 	  25.71 	       1.289e+003 	   0.998 	    -3.503 	          93.0 	
  C6 	  Unknown 	 64096 	51921.676 	      7783.313 	  31.58 	       2.723e+001 	   0.998 	    -3.503 	          93.0 	
  C7 	 Standard 	 65055 	54012.930 	      7783.313 	  14.33 	        1.95e+006 	   0.998 	    -3.503 	          93.0 	
  C8 	  Unknown 	 64560 	55596.209 	      7783.313 	  23.29 	       6.334e+003 	   0.998 	    -3.503 	          93.0 	
  C9 	  Unknown 	 64356 	55286.666 	      7783.313 	  20.49 	       4.000e+004 	   0.998 	    -3.503 	          93.0 	
 C10 	  Unknown 	 63438 	51805.497 	      7783.313 	  29.02 	       1.465e+002 	   0.998 	    -3.503 	          93.0 	
 C11 	  Unknown 	 63118 	54870.152 	      7783.313 	  27.55 	       3.844e+002 	   0.998 	    -3.503 	          93.0 	
 C12 	  Unknown 	 22814 	14729.788 	      7783.313 	  40.87 	       6.050e-002 	   0.998 	    -3.503 	          93.0 	
  D1 	      NTC 	 51273 	44058.827 	      7783.313 	  40.14 	       9.823e-002 	   0.998 	    -3.503 	          93.0 	
  D2 	  Unknown 	 63426 	53734.986 	      7783.313 	  27.63 	       3.652e+002 	   0.998 	    -3.503 	          93.0 	
  D3 	  Unknown 	 62519 	53583.656 	      7783.313 	  23.46 	       5.656e+003 	   0.998 	    -3.503 	          93.0 	
  D4 	  Unknown 	 63146 	54575.648 	      7783.313 	  24.43 	       2.998e+003 	   0.998 	    -3.503 	          93.0 	
  D5 	  Unknown 	 63310 	54716.396 	      7783.313 	  25.40 	       1.583e+003 	   0.998 	    -3.503 	          93.0 	
