Well 	Well Type 	  dR Last 	Threshold (dR) 	Ct (dR) 	Quantity (copies) 	RSq (dR) 	Slope (dR) 	Efficiency (%) 	
  A2 	  Unknown 	32439.524 	      5191.145 	  11.33 	       1.718e+007 	   0.997 	    -3.391 	          97.2 	
  A3 	  Unknown 	27888.570 	      5191.145 	  11.41 	       1.626e+007 	   0.997 	    -3.391 	          97.2 	
  A4 	  Unknown 	39229.050 	      5191.145 	  13.66 	       3.542e+006 	   0.997 	    -3.391 	          97.2 	
  A5 	  Unknown 	34667.196 	      5191.145 	  12.95 	       5.734e+006 	   0.997 	    -3.391 	          97.2 	
  A6 	  Unknown 	64935.288 	      5191.145 	  11.48 	       1.548e+007 	   0.997 	    -3.391 	          97.2 	
  A7 	 Standard 	47217.303 	      5191.145 	   7.59 	        1.95e+008 	   0.997 	    -3.391 	          97.2 	
  A8 	  Unknown 	31205.335 	      5191.145 	  10.90 	       2.299e+007 	   0.997 	    -3.391 	          97.2 	
  A9 	  Unknown 	40798.353 	      5191.145 	  13.16 	       4.952e+006 	   0.997 	    -3.391 	          97.2 	
 A10 	  Unknown 	40754.078 	      5191.145 	  22.68 	       7.741e+003 	   0.997 	    -3.391 	          97.2 	
 A11 	  Unknown 	38109.427 	      5191.145 	  12.82 	       6.229e+006 	   0.997 	    -3.391 	          97.2 	
 A12 	  Unknown 	39357.140 	      5191.145 	  23.68 	       3.926e+003 	   0.997 	    -3.391 	          97.2 	
  B2 	  Unknown 	33401.066 	      5191.145 	  12.49 	       7.828e+006 	   0.997 	    -3.391 	          97.2 	
  B3 	  Unknown 	35778.584 	      5191.145 	  19.81 	       5.423e+004 	   0.997 	    -3.391 	          97.2 	
  B4 	  Unknown 	31621.759 	      5191.145 	  10.95 	       2.225e+007 	   0.997 	    -3.391 	          97.2 	
  B5 	  Unknown 	31178.705 	      5191.145 	  12.80 	       6.337e+006 	   0.997 	    -3.391 	          97.2 	
  B6 	  Unknown 	34416.364 	      5191.145 	  17.84 	       2.063e+005 	   0.997 	    -3.391 	          97.2 	
  B7 	 Standard 	36651.422 	      5191.145 	  11.15 	        1.95e+007 	   0.997 	    -3.391 	          97.2 	
  B8 	  Unknown 	35188.695 	      5191.145 	  12.38 	       8.410e+006 	   0.997 	    -3.391 	          97.2 	
  B9 	  Unknown 	37536.066 	      5191.145 	  22.03 	       1.206e+004 	   0.997 	    -3.391 	          97.2 	
 B10 	  Unknown 	21005.221 	      5191.145 	  10.49 	       3.029e+007 	   0.997 	    -3.391 	          97.2 	
 B11 	  Unknown 	31405.044 	      5191.145 	  11.66 	       1.376e+007 	   0.997 	    -3.391 	          97.2 	
 B12 	  Unknown 	37533.994 	      5191.145 	  12.94 	       5.752e+006 	   0.997 	    -3.391 	          97.2 	
  C2 	  Unknown 	27367.195 	      5191.145 	  10.91 	       2.283e+007 	   0.997 	    -3.391 	          97.2 	
  C3 	  Unknown 	34874.494 	      5191.145 	  14.66 	       1.789e+006 	   0.997 	    -3.391 	          97.2 	
  C4 	  Unknown 	34614.688 	      5191.145 	  19.99 	       4.804e+004 	   0.997 	    -3.391 	          97.2 	
  C5 	  Unknown 	32373.381 	      5191.145 	  22.61 	       8.103e+003 	   0.997 	    -3.391 	          97.2 	
  C6 	  Unknown 	32719.833 	      5191.145 	  14.96 	       1.462e+006 	   0.997 	    -3.391 	          97.2 	
  C7 	 Standard 	35191.798 	      5191.145 	  14.33 	        1.95e+006 	   0.997 	    -3.391 	          97.2 	
  C8 	  Unknown 	33883.779 	      5191.145 	  10.71 	       2.611e+007 	   0.997 	    -3.391 	          97.2 	
  C9 	  Unknown 	33937.176 	      5191.145 	  26.02 	       8.000e+002 	   0.997 	    -3.391 	          97.2 	
 C10 	  Unknown 	22686.389 	      5191.145 	   9.41 	       6.319e+007 	   0.997 	    -3.391 	          97.2 	
 C11 	  Unknown 	35404.458 	      5191.145 	  16.64 	       4.667e+005 	   0.997 	    -3.391 	          97.2 	
 C12 	  Unknown 	58579.858 	      5191.145 	  22.14 	       1.113e+004 	   0.997 	    -3.391 	          97.2 	
  D2 	  Unknown 	33240.656 	      5191.145 	  13.79 	       3.227e+006 	   0.997 	    -3.391 	          97.2 	
  D3 	  Unknown 	33617.502 	      5191.145 	  15.34 	       1.131e+006 	   0.997 	    -3.391 	          97.2 	
  D4 	  Unknown 	26796.608 	      5191.145 	  11.43 	       1.609e+007 	   0.997 	    -3.391 	          97.2 	
  D5 	  Unknown 	25311.646 	      5191.145 	  10.66 	       2.702e+007 	   0.997 	    -3.391 	          97.2 	
  D6 	  Unknown 	34838.724 	      5191.145 	  28.82 	       1.198e+002 	   0.997 	    -3.391 	          97.2 	
  D7 	 Standard 	33366.184 	      5191.145 	  17.94 	        1.95e+005 	   0.997 	    -3.391 	          97.2 	
  D8 	  Unknown 	33487.620 	      5191.145 	  17.84 	       2.069e+005 	   0.997 	    -3.391 	          97.2 	
  D9 	  Unknown 	35254.606 	      5191.145 	  25.48 	       1.158e+003 	   0.997 	    -3.391 	          97.2 	
