IsolateID	g_sp	aveCV	aveInhibZonemm	medGrowthMidpoint	BiofilmFormer	Inhibitory	randomOrder	L0	Rep	DateStart	RichNames	RichLevel
13C	Hafnia_alvei	0.253333333	2.5	11.8	TRUE	Inhib	9	NA	Rep11	2020-10-05	L1	NA
13C	Hafnia_alvei	0.253333333	2.5	11.8	TRUE	Inhib	9	NA	Rep11	2020-10-05	L2	NA
13C	Hafnia_alvei	0.253333333	2.5	11.8	TRUE	Inhib	9	NA	Rep11	2020-10-05	L3	10
13C	Hafnia_alvei	0.253333333	2.5	11.8	TRUE	Inhib	1	NA	Rep12	2020-10-05	L1	1
13C	Hafnia_alvei	0.253333333	2.5	11.8	TRUE	Inhib	1	NA	Rep12	2020-10-05	L2	3
13C	Hafnia_alvei	0.253333333	2.5	11.8	TRUE	Inhib	1	NA	Rep12	2020-10-05	L3	10
20A	Bacillus_wiedmannii	1.590333333	1.5	14.38	TRUE	Inhib	6	NA	Rep11	2020-10-05	L1	NA
20A	Bacillus_wiedmannii	1.590333333	1.5	14.38	TRUE	Inhib	6	NA	Rep11	2020-10-05	L2	NA
20A	Bacillus_wiedmannii	1.590333333	1.5	14.38	TRUE	Inhib	6	NA	Rep11	2020-10-05	L3	10
20C	Buttiauxella_noackiae	0.947333333	0	9.19	TRUE	Non	2	NA	Rep12	2020-10-05	L1	NA
20C	Buttiauxella_noackiae	0.947333333	0	9.19	TRUE	Non	2	NA	Rep12	2020-10-05	L2	3
20C	Buttiauxella_noackiae	0.947333333	0	9.19	TRUE	Non	2	NA	Rep12	2020-10-05	L3	10
20D	Chryseobacterium_aquaticum	0.192666667	0	8.82	TRUE	Non	3	NA	Rep11	2020-10-05	L1	NA
20D	Chryseobacterium_aquaticum	0.192666667	0	8.82	TRUE	Non	3	NA	Rep11	2020-10-05	L2	3
20D	Chryseobacterium_aquaticum	0.192666667	0	8.82	TRUE	Non	3	NA	Rep11	2020-10-05	L3	10
21C	Serratia_marcescens	0.250666667	0	7.12	TRUE	Non	10	NA	Rep12	2020-10-05	L1	NA
21C	Serratia_marcescens	0.250666667	0	7.12	TRUE	Non	10	NA	Rep12	2020-10-05	L2	NA
21C	Serratia_marcescens	0.250666667	0	7.12	TRUE	Non	10	NA	Rep12	2020-10-05	L3	10
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	4	NA	Rep11	2020-10-05	L1	NA
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	4	NA	Rep11	2020-10-05	L2	NA
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	4	NA	Rep11	2020-10-05	L3	10
25A	Pseudomonas_asturiensis	0.309333333	0	8.53	TRUE	Non	1	NA	Rep11	2020-10-05	L1	1
25A	Pseudomonas_asturiensis	0.309333333	0	8.53	TRUE	Non	1	NA	Rep11	2020-10-05	L2	3
25A	Pseudomonas_asturiensis	0.309333333	0	8.53	TRUE	Non	1	NA	Rep11	2020-10-05	L3	10
25A	Pseudomonas_asturiensis	0.309333333	0	8.53	TRUE	Non	3	NA	Rep12	2020-10-05	L1	NA
25A	Pseudomonas_asturiensis	0.309333333	0	8.53	TRUE	Non	3	NA	Rep12	2020-10-05	L2	3
25A	Pseudomonas_asturiensis	0.309333333	0	8.53	TRUE	Non	3	NA	Rep12	2020-10-05	L3	10
2H	Acinetobacter_radioresistens	0.182333333	2	10.64	TRUE	Inhib	10	NA	Rep12	2020-10-05	L1	NA
2H	Acinetobacter_radioresistens	0.182333333	2	10.64	TRUE	Inhib	10	NA	Rep12	2020-10-05	L2	NA
2H	Acinetobacter_radioresistens	0.182333333	2	10.64	TRUE	Inhib	10	NA	Rep12	2020-10-05	L3	10
32E	Pseudomonas_mucidolens	0.343666667	2.5	6.32	TRUE	Inhib	10	NA	Rep11	2020-10-05	L1	NA
32E	Pseudomonas_mucidolens	0.343666667	2.5	6.32	TRUE	Inhib	10	NA	Rep11	2020-10-05	L2	NA
32E	Pseudomonas_mucidolens	0.343666667	2.5	6.32	TRUE	Inhib	10	NA	Rep11	2020-10-05	L3	10
32E	Pseudomonas_mucidolens	0.343666667	2.5	6.32	TRUE	Inhib	8	NA	Rep12	2020-10-05	L1	NA
32E	Pseudomonas_mucidolens	0.343666667	2.5	6.32	TRUE	Inhib	8	NA	Rep12	2020-10-05	L2	NA
32E	Pseudomonas_mucidolens	0.343666667	2.5	6.32	TRUE	Inhib	8	NA	Rep12	2020-10-05	L3	10
32G	Stenotrophomonas_pavanii	0.694333333	0	15.27	TRUE	Non	2	NA	Rep11	2020-10-05	L1	NA
32G	Stenotrophomonas_pavanii	0.694333333	0	15.27	TRUE	Non	2	NA	Rep11	2020-10-05	L2	3
32G	Stenotrophomonas_pavanii	0.694333333	0	15.27	TRUE	Non	2	NA	Rep11	2020-10-05	L3	10
33B	Stenotrophomonas_maltophilia	1.057333333	1	7.51	TRUE	Inhib	7	NA	Rep11	2020-10-05	L1	NA
33B	Stenotrophomonas_maltophilia	1.057333333	1	7.51	TRUE	Inhib	7	NA	Rep11	2020-10-05	L2	NA
33B	Stenotrophomonas_maltophilia	1.057333333	1	7.51	TRUE	Inhib	7	NA	Rep11	2020-10-05	L3	10
34B	Pseudomonas_brenneri	1.123666667	3	8.37	TRUE	Inhib	8	NA	Rep11	2020-10-05	L1	NA
34B	Pseudomonas_brenneri	1.123666667	3	8.37	TRUE	Inhib	8	NA	Rep11	2020-10-05	L2	NA
34B	Pseudomonas_brenneri	1.123666667	3	8.37	TRUE	Inhib	8	NA	Rep11	2020-10-05	L3	10
34B	Pseudomonas_brenneri	1.123666667	3	8.37	TRUE	Inhib	4	NA	Rep12	2020-10-05	L1	NA
34B	Pseudomonas_brenneri	1.123666667	3	8.37	TRUE	Inhib	4	NA	Rep12	2020-10-05	L2	NA
34B	Pseudomonas_brenneri	1.123666667	3	8.37	TRUE	Inhib	4	NA	Rep12	2020-10-05	L3	10
34F	Collimonas_arenae	0.275	4	7.34	TRUE	Inhib	4	NA	Rep11	2020-10-05	L1	NA
34F	Collimonas_arenae	0.275	4	7.34	TRUE	Inhib	4	NA	Rep11	2020-10-05	L2	NA
34F	Collimonas_arenae	0.275	4	7.34	TRUE	Inhib	4	NA	Rep11	2020-10-05	L3	10
34F	Collimonas_arenae	0.275	4	7.34	TRUE	Inhib	5	NA	Rep12	2020-10-05	L1	NA
34F	Collimonas_arenae	0.275	4	7.34	TRUE	Inhib	5	NA	Rep12	2020-10-05	L2	NA
34F	Collimonas_arenae	0.275	4	7.34	TRUE	Inhib	5	NA	Rep12	2020-10-05	L3	10
35A	Phyllobacterium_myrsinacearum	0.816333333	3	7.76	TRUE	Inhib	5	NA	Rep11	2020-10-05	L1	NA
35A	Phyllobacterium_myrsinacearum	0.816333333	3	7.76	TRUE	Inhib	5	NA	Rep11	2020-10-05	L2	NA
35A	Phyllobacterium_myrsinacearum	0.816333333	3	7.76	TRUE	Inhib	5	NA	Rep11	2020-10-05	L3	10
35B	Frondihabitans_peucedani	1.121666667	0	0	TRUE	Non	8	NA	Rep11	2020-10-05	L1	NA
35B	Frondihabitans_peucedani	1.121666667	0	0	TRUE	Non	8	NA	Rep11	2020-10-05	L2	NA
35B	Frondihabitans_peucedani	1.121666667	0	0	TRUE	Non	8	NA	Rep11	2020-10-05	L3	10
35E	Pseudomonas_chlororaphis	0.992	8	6.46	TRUE	Inhib	9	NA	Rep12	2020-10-05	L1	NA
35E	Pseudomonas_chlororaphis	0.992	8	6.46	TRUE	Inhib	9	NA	Rep12	2020-10-05	L2	NA
35E	Pseudomonas_chlororaphis	0.992	8	6.46	TRUE	Inhib	9	NA	Rep12	2020-10-05	L3	10
36A	Rhodococcus_fascians	0.346666667	0	21.88	TRUE	Non	9	NA	Rep12	2020-10-05	L1	NA
36A	Rhodococcus_fascians	0.346666667	0	21.88	TRUE	Non	9	NA	Rep12	2020-10-05	L2	NA
36A	Rhodococcus_fascians	0.346666667	0	21.88	TRUE	Non	9	NA	Rep12	2020-10-05	L3	10
