0	1	2	3	4	5	6	7	8	9	10	11	12
A	35A	20D	21C	40A	34B	50A	BTB_28	20A				
B	35E	32E	54G	35B	34F	37E	13C	34F				
C	20D	20C	36A	36G	47C	21C	TRYP	50B				
D	32E	TRYP	20C	34B	36A	32G	36E					
E	32G	37H	25A	35E	36E	24D	33B					
F	33B	35A	24D	37H	54G	25A	37E					
G	TRYP	BTB_59	40A	20A	BTB_28	35B	50A					
H	2H	36G	13C	2H	50B	BTB_59	47C					
