IsolateID	aveOD	volPerMl
13C	0.122166666666667	0.409276944065484
20A	0.152166666666667	0.328587075575027
20C	0.157166666666667	0.31813361611877
20D	0.181666666666667	0.275229357798165
21C	-0.00683333333333333	1
24D	0.207666666666667	0.240770465489567
25A	0.155166666666667	0.322234156820623
2H	0.0606666666666667	0.824175824175824
32E	0.169166666666667	0.295566502463054
32G	0.252166666666667	0.198281559814937
33B	0.0511666666666667	0.977198697068404
34B	0.121666666666667	0.410958904109589
34F	0.135666666666667	0.368550368550368
35A	0.116666666666667	0.428571428571428
35B	-0.0808333333333333	1
35E	0.00266666666666665	18.7500000000001
36A	0.333666666666667	0.14985014985015
36E	0.0211666666666667	2.36220472440945
36G	0.250166666666667	0.199866755496336
37E	0.338666666666667	0.147637795275591
37H	0.0241666666666667	2.06896551724138
40A	0.0426666666666667	1.171875
47C	0.157166666666667	0.31813361611877
50A	0.100666666666667	0.496688741721854
50B	0.0201666666666667	2.47933884297521
54G	0.300666666666667	0.16629711751663
BTB_28	-0.0193333333333333	1
BTB_59	0.159666666666667	0.313152400835073
