SampleID	B_JarID	DateStart	Rep	Inhibitory	RichLevel	introRich	CV	CV_sd	qPCR_log10_bact	qPCR_bact_sd	qPCR_bact_lwr_95_total	qPCR_bact_upr_95_total	B_obsRich	B_shannon	B_pielou	B_inhibRich	B_inhibReads	B_inhibProp	B_inhibRichFrac	A_JarID	qPCR_log10_Bd	qPCR_Bd_sd	qPCR_Bd_lwr_95_total	qPCR_Bd_upr_95_total	Micro_Bd_density	Micro_Bd_density_sd	Micro_Bd_truezero	clouds_present	pinpricks_present	Micro_Bd_meansize	Micro_Bd_meansize_sd	Micro_Bd_medsize	A_obsRich	shannon_mergedASV	pielou_mergedASV	A_inhibRich	inhibReads	inhibProp	A_inhibRichFrac
Inhib_2020-09-19_1_Rep8	12	2020-09-19	Rep8	Inhib	1	1	0.968611111111111	0.0135963638930088	5.21675034153531	0.0942625228262917	4.51540383480495	5.91809684826568	1	0	NA	0	0	0	0	3	0.774881512348529	0.377771816144527	0.0735350056181655	1.47622801907889	0	0	FALSE	FALSE	FALSE	NA	NA	NA	1	NA	NA	0	0	0	0
Inhib_2020-09-19_3_Rep8	25	2020-09-19	Rep8	Inhib	3	3	0.667277777777778	0.0104336528172597	5.6141384388807	0.156209156374053	4.91279193215034	6.31548494561107	3	0.74712314061432	0.680060789707792	2	277237	0.677753249578905	0.666666666666667	16	1.99645534041769	0.232832790295332	1.29510883368733	2.69780184714806	0	0	FALSE	FALSE	FALSE	7.45175546820493	1.40084445721792	7.30408183767836	3	NA	NA	2	0.709304493753496	0.710990067286127	0.666666666666667
Inhib_2020-09-19_10_Rep8	4	2020-09-19	Rep8	Inhib	10	8	0.879277777777778	0.0152925181415982	5.60926585909058	0.0558006912645198	4.90791935236022	6.31061236582094	4	0.784547059603707	0.565931076117143	3	395966	0.981856413486311	0.75	24	2.02216804652102	0.353924794641048	1.32082153979066	2.72351455325138	1.12604882439602	4.50419529758408	FALSE	FALSE	FALSE	7.61101025774839	2.25567917536065	7.52915252015163	3	NA	NA	3	0.989490173739675	1	1
Non_2020-09-19_1_Rep8	18	2020-09-19	Rep8	Non	1	1	0.0462777777777778	0.00169148192751536	5.50711121034741	0.0995314691966658	4.80576470361704	6.20845771707777	1	0	NA	0	0	0	0	6	2.34390986299309	0.516622259139085	1.64256335626273	3.04525636972345	2.40223749204484	6.7336147504275	FALSE	FALSE	TRUE	12.4319955543126	5.77564990559871	11.1903087531453	2	NA	NA	0	0	0	0
Non_2020-09-19_10_Rep8	28	2020-09-19	Rep8	Non	10	6	0.148611111111111	0.00220479275922049	5.19274977816286	0.169117329322683	4.4914032714325	5.89409628489323	2	0.682238688602788	0.984262372749833	0	0	0	0	2	2.42860023830172	0.522008728526765	1.72725373157136	3.12994674503209	4.00372915340807	12.5701429258588	FALSE	FALSE	FALSE	8.28128582984039	2.5073956171222	7.74859885984875	3	NA	NA	0	0	0	0
Con_2020-09-28_0_Rep9	11	2020-09-28	Rep9	Con	0	0	0.0186111111111111	0.000927960727138337	0.990880946073972	0.135940209126516	0.289534439343609	1.69222745280434	0	0	0	0	0	0	0	15	4.46880353612974	0.954394686822646	3.76745702939937	5.1701500428601	498.019420804481	934.48856300457	FALSE	TRUE	TRUE	7.94220136967683	2.46033278484113	7.97202102806004	0	NA	NA	0	0	0	0
Inhib_2020-09-28_1_Rep9	17	2020-09-28	Rep9	Inhib	1	1	0.341944444444444	0.00441902452785426	5.17675591330975	0.135567004251106	4.47540940657938	5.87810242004011	1	0	NA	0	0	0	0	14	2.43744627783146	0.5175731682732	1.7360997711011	3.13879278456183	0	0	FALSE	FALSE	FALSE	15.9229507707095	3.15136973658997	15.9229507707095	1	NA	NA	0	0	0	0
Inhib_2020-09-28_3_Rep9	8	2020-09-28	Rep9	Inhib	3	3	0.657277777777778	0.00169148192751537	5.38438880706921	0.00624836625496211	4.68304230033885	6.08573531379958	2	0.459725946850566	0.663244343689294	1	41638	0.172434785129477	0.5	7	2.47590866712126	0.233052214251784	1.77456216039089	3.17725517385162	0	0	FALSE	FALSE	FALSE	16.6014598466533	5.97477321085679	16.6014598466533	2	NA	NA	1	0.211854792966535	0.213435347153878	0.5
Inhib_2020-09-28_10_Rep9	9	2020-09-28	Rep9	Inhib	10	10	0.649277777777778	0.0133364579672082	5.80577480676612	0.0841377161450209	5.10442830003576	6.50712131349649	4	1.20889503090645	0.872033433022024	3	604536	0.950996323662431	0.75	13	1.36581332374355	0.527172750399538	0.66446681701319	2.06715983047392	0	0	TRUE	FALSE	FALSE	NA	NA	NA	5	NA	NA	3	0.956284999096797	0.958635140728477	0.6
Non_2020-09-28_1_Rep9	19	2020-09-28	Rep9	Non	1	1	0.0149444444444445	0.00187823794493076	4.88480776340859	0.334880088377653	4.18346125667822	5.58615427013895	1	0	NA	0	0	0	0	12	3.71782536239611	0.438851584368932	3.01647885566575	4.41917186912648	221.406222183466	359.031097167646	FALSE	FALSE	TRUE	5.7715137188704	2.82013397854202	5.31577969488134	1	NA	NA	0	0	0	0
Non_2020-09-28_3_Rep9	28	2020-09-28	Rep9	Non	3	3	1.06227777777778	0.0130713852024607	5.80932305994254	0.0417655257556901	5.10797655321218	6.5106695666729	2	0.681114382582879	0.982640342030468	0	0	0	0	26	2.71384370433343	0.510233048186632	2.01249719760307	3.41519021106379	0	0	FALSE	FALSE	FALSE	NA	NA	NA	3	NA	NA	0	0	0	0
Non_2020-09-28_10_Rep9	2	2020-09-28	Rep9	Non	10	10	1.26061111111111	0.021560638003341	5.99263622974963	0.162457522629016	5.29128972301926	6.69398273647999	3	0.874071107381303	0.795613808799621	0	0	0	0	20	2.54458428775566	0.822706590260356	1.8432377810253	3.24593079448602	0	0	FALSE	FALSE	FALSE	5.00154491269536	2.88202100092281	4.25016068165483	3	NA	NA	0	0	0	0
Inhib_2020-08-31_10_Rep1	NA	2020-08-31	Rep1	Inhib	10	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	3.2692433789418	0.342488400753265	2.56789687221144	3.97058988567216	90.4592555598135	157.027902214312	FALSE	FALSE	TRUE	10.1080026504538	3.83523210996753	8.84573358690715	1	NA	NA	1	0.896948433420366	1	1
Non_2020-10-05_0_Rep13	NA	2020-10-05	Rep13	Con	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	NA	NA	NA	NA	695.361959750837	654.273446532348	FALSE	FALSE	FALSE	10.3697445949574	3.43690327035409	10.5609641907793	0	NA	NA	0	0	0	0
Non_2020-09-19_3_Rep8	NA	2020-09-19	Rep8	Non	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.91536257238803	0.359627225887282	1.21401606565767	2.61670907911839	0	0	FALSE	FALSE	FALSE	NA	NA	NA	2	NA	NA	0	0	0	0
