ASVID	IsolateID	ASVRef
ASV_180843d213d81292129ca7501d19904c	34F	REF_54
ASV_213f59ff91f42554a6570145dbeff3da	34F	REF_55
ASV_5746145cd6809625dd78c312e6605cb4	34F	REF_56
ASV_ec2d6318d95da4328567972cc10eb066	34F	REF_57
ASV_033fc14444cc93f82f6464968d72c6b2	34F	REF_69
ASV_b65fae1900c461356f7ec33239edf811	2E	REF_81
ASV_f13bd5edd93cef613314f42915c99a6f	2H	REF_25
ASV_dcba105f35d8ebc9e22269c7491ad3a7	32G	REF_38
ASV_f8aeec3c1ff0f4e7e1c829e4db0618d9	34B	REF_14
ASV_8b9ede8e4455abbacd8d8d787eb6383d	35B	REF_34
ASV_dd18c11c9ae50bd4f90b015e8c78de58	36A	REF_44
ASV_49823414bc8b40533dc059f1a004af95	36E	REF_45
ASV_d324c95a5966d689591653062ca99d03	36E	REF_46
ASV_c9a53d76f39599d2b931bdb4e6a64302	37H	REF_39
ASV_d829bee4984f82ffc2453212157caf96	37H	REF_40
ASV_f6ea85bd55706a7a9a3051c33ad47a28	33D	REF_58
ASV_fb67b286b0f781b0de13d50179318995	33D	REF_59
ASV_fa0bfc5b671a0016df8fd1840f314bab	50A	REF_11
ASV_bdf8a26094624622d68509a87fa75ba7	13C	REF_51
ASV_0c579d21280801f02a641e1608606927	24L	REF_100
ASV_dac473d7560f1d9853ae3940e601aeca	24L	REF_102
ASV_e711809f575453e6867a087809c8dbd6	24L	REF_103
ASV_297d2c85f6e70c96017cbe2d606276fd	25A	REF_97
ASV_43fddf1528d4a98928fd8c3a8ac23bfd	25A	REF_98
ASV_a09d1e53d563c36b4c9ce5745304310e	25A	REF_99
ASV_1b19ddc52f14d0b9a5430a8f2efeb1a8	36G	REF_41
ASV_3010267cf56917ac69cecf9f6db1a6d3	36G	REF_42
ASV_4ea59d33f520370432fb7cb625b56c12	40A	REF_3
ASV_0562e97bf8665edd5ae85899297a44a8	50B	REF_19
ASV_5ccd30281011c170e7e836bc752205e6	50B	REF_20
ASV_6a42f6b31b1958a4fd7c015ad7affbf4	50B	REF_21
ASV_8f49f479dd354667c02fd7520249f8dd	50B	REF_22
ASV_255429c75a0f47d5a30c6ac429fa7c34	2F	REF_71
ASV_1bc599cac5647c5c30496e93ca551557	35E	REF_49
ASV_4850a238b7fbbd5ffa204c5a5a396f2c	45E	REF_28
ASV_945184b6386c192c0066e0a98a154780	20C	REF_35
ASV_e61a7bc42a30f0ca4f170b5e3f6cad0c	20D	REF_6
ASV_82dece6e35540738ba450a0c3a90b5a0	21C	REF_105
ASV_1a536b0e1f97503816f150ed89839a0f	24D	REF_101
ASV_3481fa43fe5fba6aecdc7f9aae6ed9c0	25C	REF_16
ASV_bc56a7361c9a3b49f1f1c51874321e12	47C	REF_29
ASV_205d983fc6a77838d0c5f28ea5485c28	49C	REF_27
ASV_63afe8e6aac58bf0d670a82ca5bc574c	54G	REF_4
ASV_3bb0bf5132b0f988573de9bd6059b22c	BTB_28	REF_17
ASV_38c27ceaed634984c1225a82648cf571	BTB_45	REF_12
ASV_d32e579b3ae7b2aae8d5bf9f027c29af	BTB_47	REF_10
ASV_5648dccee530d68ceb3e4d7d22cf8756	BTB_59	REF_114
BTB_59-27F_D07.ab1	BTB_59	NA
BTB_47-27F_D04.ab1	BTB_47	NA
BTB_45-27F_A05.ab1	BTB_45	NA
BTB_28-27F_B09.ab1	BTB_28	NA
54G-27F_B02.ab1	54G	NA
50B-27F_D11.ab1	50B	NA
50A-27F_H03.ab1	50A	NA
49C-27F_A04.ab1	49C	NA
47C-27F_C08.ab1	47C	NA
45E-27F_R_C02.ab1	45E	NA
45E-27F_B10.ab1	45E	NA
45D-27F_A05.ab1	45D	NA
40B-27F_C12.ab1	40B	NA
40A-27F_A08.ab1	40A	NA
37H-27F_E04.ab1	37H	NA
37E-27F_E10.ab1	37E	NA
36G-27F_G06.ab1	36G	NA
36E-27F_G03.ab1	36E	NA
36A-27F_R_E02.ab1	36A	NA
36A-27F_H08.ab1	36A	NA
35E-27F_A09.ab1	35E	NA
35B-27F_H08.ab1	35B	NA
35A-27F_C01.ab1	35A	NA
34F-27F_B04.ab1	34F	NA
34B-27F_F02.ab1	34B	NA
33D-27F_G07.ab1	33D	NA
33B-27F_G11.ab1	33B	NA
32H-27F_A08.ab1	32H	NA
32G-27F_B03.ab1	32G	NA
32F-27F_G06.ab1	32F	NA
32E-27F_E09.ab1	32E	NA
2H-27F_H03.ab1	2H	NA
2F-27F_E05.ab1	2F	NA
2E-27F_G02.ab1	2E	NA
25C-27F_A02.ab1	25C	NA
25A-27F_F12.ab1	25A	NA
24L-27F_B09.ab1	24L	NA
24D-27F_E05.ab1	24D	NA
24C-27F_G05.ab1	24C	NA
21C-27F_G07.ab1	21C	NA
20D-27F_E02.ab1	20D	NA
20C-27F_A07.ab1	20C	NA
20A-27F_G06.ab1	20A	NA
13C-27F_R_H02.ab1	13C	NA
13C-27F_A02.ab1	13C	NA
