IsolateID	Jar_8Jar_22	Jar_25Jar_15	Jar_2Jar_27	Jar_19Jar_21	Jar_9Jar_10	Jar_6Jar_28	Jar_3Jar_23	Jar_18Jar_24	Jar_17Jar_26	Jar_12Jar_4	Jar_11Jar_13	Jar_1Jar_7	Jar_5Jar_14	Jar_20Jar_16	volPerMl
2H	0	0	0	0	0	0	0	0.651465798045602	0.217155266015201	0.195439739413681	0	1.95439739413681	0	0	0.488599348534202
50B	0	0	0	0	0	0	0	1.27388535031847	0	0.382165605095542	0	0	0	0	0.955414012738854
50A	0	0	0	0	0	0	0.776196636481242	0.517464424320828	0.172488141440276	0.155239327296248	1.55239327296248	0	0	0	0.388098318240621
34B	0	0	0	0	0	0	0	0	0	0.0944138473642801	0	0	0	0	0.2360346184107
13C	0	0	0	0	0	0	0	0	0.121543603767852	0.109389243391067	0	0	0	0	0.273473108477666
35A	0	0	0	0	0	0	0	0	0	0.139049826187717	0	0	0	0	0.347624565469293
BTB_47	0	0	0	0	0	0	0.814111261872456	0	0.180913613749434	0.162822252374491	0	0	0	0	0.407055630936228
32E	0	0	0	0	0	0	0	0	0	0.140515222482436	0	0	0	0	0.351288056206089
37H	0	0	0	0	0	0	0	0	0.233100233100233	0.20979020979021	0	0	0	0	0.524475524475525
2F	0	0	0	0	0	0	0	0	0	0.138089758342923	0	0	0	0	0.345224395857307
33D	0	0	0	0	0	0	0	0	0.112898673440587	0	0	0	0	0	0.254022015241321
2E	0	0	0	0	0	0	0	0	0.444444444444444	0	0	0	0	0	1
20A	0	0	0	0	0	0	0	0	0.123571207908557	0	0	0	0	0	0.278035217794254
37E	0	0	0	0	0	0	0	0	0.214018191546281	0	0	0	0	0	0.481540930979133
45E	0	0.304645849200304	0	0.0913937547600914	0	0.913937547600914	0	0	0	0	0	0	0	0	0.228484386900228
32G	0	0.436205016357688	0	0.130861504907306	0	0	0	0	0	0	0	0	0	0	0.327153762268266
54G	0	0.278551532033426	0	0.0835654596100279	0	0	0	0	0	0	0	0	0	0	0.20891364902507
25A	0	0	8.5714285714286	8.5714285714286	0	0	0	0	0	0	0	0	0	0	21.4285714285715
36G	0.286944045911047	0	0.0860832137733142	0.0860832137733142	0	0	0	0	0	0	0	0	0	0	0.215208034433286
47C	0	0	0	0.0766773162939297	0	0	0	0	0	0	0	0	0	0	0.191693290734824
20C	0	0	0	0.180451127819549	0	0	0	0	0	0	0	0	0	0	0.451127819548872
35B	0	0	0	0.731707317073171	0	0	0	0	0	0	0	0	0	0	1.82926829268293
24D	0	0	0	0.0950871632329636	0	0	0	0	0	0	0	0	0	0	0.237717908082409
40A	0	0	0.731707317073171	0.731707317073171	0	0	0	0	0	0	0	0	0	0	1.82926829268293
36A	1.33333333333333	0	0.4	0	4	0	0	0	0	0	0	0	0	0	1
BTB_28	0.26525198938992	0	0.0795755968169762	0	0	0	0	0	0	0	0	0	0	0	0.19893899204244
24C	0	0	0.161507402422611	0	0	0	0	0	0	0	0	0	0	0	0.403768506056528
40B	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	1
36E	0	0	1.30434782608696	0	0	0	0	0	0	0	0	0	0	0	3.26086956521739
21C	0	0	0.112464854732896	0	0	0	0	0	0	0	0	0	0	0	0.28116213683224
25C	0	0	0.140515222482436	0	0	0	0	0	0	0	0	0	0	0	0.351288056206089
Water	2.1144706313657	2.98059760240858	-7.98763000481696	-6.77896274597212	0	3.08606245239909	2.4096921016463	1.5571844273151	2.17986662458714	2.27308496826141	2.44760672703752	2.04560260586319	4	4	NA
