IsolateID	aveOD	volPerMl
13C	0.182833333333333	0.273473108477666
20A	0.179833333333333	0.278035217794254
20C	0.110833333333333	0.451127819548872
21C	0.177833333333333	0.28116213683224
24C	0.123833333333333	0.403768506056528
24D	0.210333333333333	0.237717908082409
25A	0.00233333333333333	21.4285714285715
25C	0.142333333333333	0.351288056206089
2E	-0.00266666666666668	1
2F	0.144833333333333	0.345224395857307
2H	0.102333333333333	0.488599348534202
32E	0.142333333333333	0.351288056206089
32G	0.152833333333333	0.327153762268266
33D	0.196833333333333	0.254022015241321
34B	0.211833333333333	0.2360346184107
35A	0.143833333333333	0.347624565469293
35B	0.0273333333333333	1.82926829268293
36A	-0.00566666666666668	1
36E	0.0153333333333333	3.26086956521739
36G	0.232333333333333	0.215208034433286
37E	0.103833333333333	0.481540930979133
37H	0.0953333333333333	0.524475524475525
40A	0.0273333333333333	1.82926829268293
40B	-0.00466666666666668	1
45E	0.218833333333333	0.228484386900228
47C	0.260833333333333	0.191693290734824
50A	0.128833333333333	0.388098318240621
50B	0.0523333333333333	0.955414012738854
54G	0.239333333333333	0.20891364902507
BTB_28	0.251333333333333	0.19893899204244
BTB_47	0.122833333333333	0.407055630936228
