IsolateID	Row	Column	OD
37H	A	1	0.218
25A	B	1	0.131
36E	C	1	0.127
BTB_47	D	1	0.235
40A	E	1	0.141
25C	F	1	0.249
20A	G	1	0.317
21C	H	1	0.282
36E	A	2	0.143
37E	B	2	0.226
BTB_28	C	2	0.378
BTB_28	D	2	0.364
32E	E	2	0.262
TRYP	F	2	0.111
24C	G	2	0.235
35A	H	2	0.256
32E	A	3	0.262
32G	B	3	0.287
33D	C	3	0.378
24D	D	3	0.333
32G	E	3	0.258
13C	F	3	0.313
2E	G	3	0.106
36A	H	3	0.122
TRYP	A	4	0.132
40A	B	4	0.153
33D	C	4	0.255
54G	D	4	0.358
24D	E	4	0.327
37H	F	4	0.212
25A	G	4	0.113
13C	H	4	0.292
36G	A	5	0.378
35A	B	5	0.271
50A	C	5	0.246
24C	D	5	0.252
TRYP	E	5	0.116
45E	F	5	0.336
21C	G	5	0.313
36G	H	5	0.326
50B	A	6	0.195
2E	B	6	0.128
40B	C	6	0.119
2F	D	6	0.257
35B	E	6	0.143
54G	F	6	0.36
36A	G	6	0.106
20C	H	6	0.226
2F	A	7	0.272
45E	B	7	0.341
47C	C	7	0.463
35B	D	7	0.151
50B	E	7	0.149
25C	F	7	0.275
20C	G	7	0.235
37E	H	7	0.221
34B	A	8	0.351
34B	B	8	0.312
BTB_47	C	8	0.25
50A	D	8	0.251
2H	E	8	0.225
2H	F	8	0.219
40B	G	8	0.111
47C	H	8	0.298
20A	A	9	0.282
20D	B	9	0.42
20D	C	9	0.439
